mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,52,53,74,75,76,84,100,101,102,104,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
51,5.329754146925876,33.879,1.733,1.548,0.912,0.149,0.609,0.432,0.375,0.598,0.24,0.184,0.556,0.259,0.23,0.544,0.273,0.584,0.333,0.238,113.824,0.472,0.341,0.348,0.356,0.385,3.0,0.0005103,6.923,4.018,1.0,0.59025,1.91284759,36.038998,146.786148,128.652664
52,6.8297382846050425,36.944,3.574,1.839,0.872,0.144,0.486,0.325,0.408,0.584,0.135,0.247,0.519,0.197,0.24,0.492,0.233,0.604,0.196,0.393,206.521,0.407,0.322,0.318,0.324,0.397,2.0,0.0004948,8.068,4.535,1.0,0.664035,5.72456634,65.027115,127.088432,93.245148
53,6.1938200260161125,41.474,3.874,0.615,0.902,0.143,0.465,0.541,0.305,0.551,0.269,0.087,0.498,0.328,0.138,0.474,0.369,0.607,0.319,0.169,188.543,0.437,0.302,0.321,0.338,0.365,5.0,0.0005128,8.466,4.701,1.0,0.694048,4.36919759,80.715942,129.095001,83.360863
55,5.978810700930062,31.465,2.594,0.83,0.902,0.15,0.582,0.438,0.396,0.579,0.142,0.18,0.563,0.225,0.205,0.558,0.281,0.609,0.264,0.228,109.888,0.472,0.301,0.331,0.355,0.367,3.0,0.0004623,6.976,3.851,1.0,0.57717,3.45034477,41.388027,140.647018,86.640816
56,5.510041520575165,35.903,1.971,0.81,0.928,0.148,0.594,0.408,0.324,0.496,0.225,0.206,0.509,0.257,0.199,0.523,0.285,0.496,0.381,0.179,101.416,0.442,0.309,0.322,0.333,0.352,3.0,0.0005166,7.09,5.01,1.0,0.586571,4.05760586,42.94239,127.354477,92.833984
57,7.886056647693163,30.576,6.836,2.507,0.766,0.143,0.564,0.452,0.417,0.584,0.253,0.31,0.553,0.31,0.299,0.542,0.351,0.649,0.282,0.364,302.808,0.478,0.382,0.387,0.391,0.432,9.0,0.0004505,8.326,4.802,1.0,0.616754,5.79999395,81.441658,153.311401,74.749435
58,6.764471553092451,35.246,5.428,2.274,0.821,0.14,0.558,0.342,0.435,0.574,0.15,0.212,0.557,0.218,0.267,0.551,0.259,0.622,0.202,0.312,283.82,0.445,0.312,0.347,0.37,0.378,6.0,0.000456,8.618,4.803,1.0,0.640561,6.24650097,57.48214,177.684647,93.99501
59,5.441291429466834,29.18,2.676,1.814,0.867,0.149,0.617,0.411,0.436,0.6,0.236,0.212,0.557,0.263,0.259,0.547,0.281,0.566,0.333,0.322,135.848,0.488,0.35,0.36,0.372,0.407,12.0,0.000459,6.698,4.719,1.0,0.561016,1.13911059,52.574562,104.726318,113.234123
60,5.429457060118103,26.667,1.769,0.968,0.907,0.151,0.54,0.427,0.353,0.979,0.426,0.096,0.601,0.273,0.295,0.552,0.325,0.735,0.328,0.397,74.702,0.44,0.501,0.39,0.412,0.487,1.0,0.0004674,6.668,1.674,1.0,0.563146,3.29844929,19.965986,93.875587,46.658875
61,6.3979400086720375,41.742,4.87,0.886,0.879,0.141,0.566,0.389,0.35,0.612,0.19,0.134,0.578,0.262,0.17,0.565,0.303,0.677,0.28,0.186,244.587,0.435,0.312,0.337,0.354,0.381,7.0,0.0005152,7.981,4.969,1.0,0.686935,5.01162225,59.982056,126.599899,104.169647
