mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
48,5.42021640338319,22.141,5.184,2.276,0.748,0.147,0.603,0.514,0.417,0.319,0.141,0.211,0.441,0.219,0.511,0.333,5.0,0.2388859,7.464,4.079,1.015,0.513651,1.460546,54.173054,106.362617,109.693115
49,5.580044251510242,246.424,5.794,2.552,0.967,0.151,0.9,0.425,0.477,0.296,0.23,0.292,0.321,0.413,0.601,0.465,8.0,0.2715171,6.511,3.861,1.031,0.427514,2.42426565,52.044563,124.556473,112.646126
50,8.522878745280337,99.063,16.491,4.178,0.827,0.145,0.137,0.442,0.395,0.456,0.311,0.278,0.524,0.377,0.325,0.277,3.0,0.2486476,7.951,4.696,1.077,0.529395,9.22946098,75.456573,133.796051,69.574501
51,5.329754146925876,66.029,5.795,1.789,0.897,0.149,0.104,0.47,0.413,0.222,0.255,0.277,0.278,0.432,0.329,0.234,4.0,0.392169,5.599,3.918,1.014,0.367362,3.17650839,31.799438,118.730354,135.407745
52,6.8297382846050425,539.907,16.033,2.613,0.967,0.144,0.977,0.452,0.386,0.386,0.321,0.273,0.468,0.301,0.605,0.566,5.0,0.2638626,7.19,4.501,1.04,0.550226,4.38149171,55.304291,127.22467,101.658798
53,6.1938200260161125,380.338,22.273,0.901,0.943,0.143,0.317,0.412,0.301,0.346,0.151,0.173,0.454,0.208,0.344,0.276,8.0,0.2936042,7.882,4.602,1.043,0.555095,6.73864221,101.221939,125.680046,119.361702
55,5.978810700930062,13.048,6.747,1.051,0.626,0.151,0.501,0.513,0.378,0.371,0.208,0.236,0.441,0.28,0.464,0.319,5.0,0.3780727,6.334,3.884,1.023,0.420769,2.60643342,57.670467,98.485733,125.648468
56,5.510041520575165,177.56,19.458,3.204,0.887,0.148,0.881,0.024,0.347,0.001,0.098,0.2,0.009,0.256,0.417,0.337,6.0,0.2401235,7.145,4.708,1.018,0.566991,2.72890813,48.885582,114.117737,101.04847
57,7.886056647693163,229.785,199.734,2.686,0.532,0.143,0.624,0.237,0.455,0.092,0.162,0.245,0.135,0.272,0.439,0.351,5.0,0.2646875,8.087,4.533,1.045,0.602227,6.14732011,44.939873,144.914505,103.699081
58,6.764471553092451,467.405,165.346,20.062,0.716,0.14,0.838,0.347,0.043,0.326,0.008,0.014,0.37,0.017,0.409,0.388,7.0,0.2997486,7.83,4.801,1.05,0.558391,5.23699168,89.010147,199.815231,87.137009
59,5.441291429466834,24.524,3.881,1.596,0.817,0.149,0.622,0.482,0.46,0.337,0.174,0.243,0.41,0.314,0.521,0.353,12.0,0.1798133,6.709,4.822,1.047,0.518111,5.20967076,48.670448,139.673233,90.729424
60,5.429457060118103,18.174,4.844,1.285,0.748,0.151,0.561,0.518,0.362,0.143,0.229,0.232,0.416,0.51,0.48,0.641,2.0,0.2379451,6.943,1.674,1.012,0.530261,2.60801889,22.256664,117.149055,60.518181
