mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
62,5.5003129173815966,349.704,92.17,1.39,0.789,0.146,0.55,0.161,0.336,0.134,0.146,0.145,0.189,0.208,0.245,0.349,0.32,0.325,5.0,0.3196954,7.404,4.741,1.037,0.626673,5.76575269,38.940304,127.814774,59.205864
63,6.0655015487564325,140.014,8.854,1.608,0.93,0.14,0.132,0.474,0.386,0.275,0.21,0.341,0.257,0.316,0.284,0.331,0.205,0.259,4.0,0.2661107,8.245,4.634,1.05,0.61161,5.95221876,43.221947,175.590149,90.115875
64,7.795880017344075,23.852,5.452,3.069,0.737,0.144,0.503,0.473,0.482,0.387,0.178,0.362,0.268,0.451,0.244,0.486,0.365,0.418,6.0,0.2824948,7.994,4.936,1.054,0.556578,7.27016505,62.16803,133.12114,125.879654
65,5.480172006224281,18.37,5.775,1.764,0.709,0.146,0.549,0.466,0.409,0.288,0.184,0.344,0.24,0.383,0.261,0.474,0.318,0.371,4.0,0.3377894,7.038,3.851,1.012,0.477475,3.30726894,47.941162,103.004677,88.214378
66,7.698970004336019,32.033,2.932,1.301,0.883,0.143,0.486,0.427,0.381,0.243,0.127,0.27,0.205,0.349,0.229,0.431,0.297,0.394,5.0,0.2270358,7.702,4.568,1.051,0.600799,5.40042097,42.502495,160.961243,99.544533
67,5.896196279044043,119.11,58.659,3.433,0.657,0.148,0.281,0.131,0.502,0.06,0.243,0.079,0.383,0.076,0.362,0.305,0.188,0.258,4.0,0.0359188,7.066,3.817,1.012,0.602879,2.52517803,52.068363,147.700378,44.613503
68,6.832682665251824,14.62,5.59,2.477,0.644,0.145,0.394,0.414,0.309,0.306,0.126,0.296,0.186,0.351,0.188,0.372,0.253,0.321,7.0,0.3941129,6.955,4.233,1.047,0.441994,3.40442664,63.206543,116.578163,93.764221
69,5.610833915635467,36.486,2.16,1.152,0.917,0.147,0.633,0.489,0.504,0.182,0.163,0.264,0.251,0.27,0.33,0.542,0.311,0.39,4.0,0.174515,7.387,3.851,1.016,0.603292,2.70567904,46.858135,97.636009,81.893997
70,5.207608310501746,13.262,10.48,2.724,0.501,0.138,0.423,0.417,0.415,0.258,0.302,0.443,0.337,0.423,0.46,0.419,0.371,0.409,5.0,0.3246534,8.757,3.969,1.073,0.489947,8.2909325,57.627502,130.823975,137.555008
71,5.3979400086720375,124.749,23.61,4.051,0.819,0.136,0.248,0.512,0.451,0.43,0.369,0.478,0.382,0.528,0.42,0.404,0.326,0.392,5.0,0.3376249,8.832,5.094,1.026,0.582569,1.80209609,75.850586,156.892517,155.330414
