mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
40,5.698970004336019,27.79,6.114,1.892,0.776,0.144,0.597,0.312,0.314,0.153,0.103,0.215,0.158,0.221,0.193,0.407,0.268,5.0,0.2554308,8.004,3.08,1.017,0.565653,2.42540508,60.970802,82.692818,115.119408
41,6.154901959985743,23.442,5.601,1.886,0.758,0.143,0.491,0.33,0.45,0.202,0.13,0.237,0.222,0.262,0.262,0.424,0.273,8.0,0.2450031,8.082,5.123,1.047,0.534855,1.20772076,64.471298,83.831177,120.860863
42,5.508638306165727,17.01,4.797,2.196,0.709,0.142,0.408,0.514,0.373,0.297,0.231,0.394,0.244,0.404,0.299,0.432,0.357,4.0,0.3259756,6.99,3.742,1.064,0.495279,7.55110406,62.996941,112.19545,139.72998
43,5.522878745280337,30.273,5.4,2.756,0.788,0.141,0.583,0.416,0.423,0.255,0.2,0.307,0.279,0.293,0.257,0.474,0.397,9.0,0.2608632,9.127,5.229,1.011,0.628685,4.15531453,69.486839,144.426376,111.332024
44,6.102372908709558,17.858,5.778,1.747,0.704,0.142,0.51,0.263,0.436,0.43,0.142,0.298,0.229,0.689,0.232,0.403,0.307,4.0,0.2240401,7.39,3.707,1.055,0.475665,5.18977475,63.991657,91.258911,217.269257
45,6.721246399047171,199.34,11.149,1.365,0.941,0.142,0.575,0.541,0.376,0.386,0.191,0.453,0.213,0.396,0.328,0.497,0.46,5.0,0.3678454,8.085,3.841,1.054,0.527935,5.15981957,74.160843,139.453293,127.050377
46,8.102372908709558,294.694,8.175,3.037,0.963,0.144,0.784,0.522,0.461,0.39,0.307,0.413,0.378,0.482,0.418,0.589,0.506,4.0,0.4231749,6.869,4.548,1.061,0.400197,7.1841232,63.703167,167.17218,99.21711
47,5.040958607678906,22.602,2.941,1.47,0.837,0.153,0.528,0.361,0.406,0.22,0.257,0.241,0.256,0.206,0.263,0.431,0.43,4.0,0.172176,6.732,4.424,1.049,0.560258,6.05721147,64.440712,72.448265,77.992805
48,5.42021640338319,223.282,21.372,1.672,0.906,0.147,0.595,0.299,0.393,0.204,0.157,0.258,0.202,0.284,0.295,0.429,0.327,5.0,0.22537,7.506,4.248,1.017,0.580807,3.57893666,50.916405,81.247734,69.260834
49,5.580044251510242,226.074,10.375,1.404,0.95,0.151,0.901,0.366,0.417,0.227,0.131,0.278,0.181,0.307,0.32,0.561,0.423,8.0,0.2721407,6.474,3.895,1.035,0.590344,4.40859207,50.862534,81.493965,105.422714
50,8.522878745280337,213.71,55.423,37.941,0.696,0.145,0.382,0.059,0.078,0.056,0.016,0.029,0.032,0.271,0.042,0.173,0.186,7.0,0.2922673,8.39,4.723,1.076,0.532598,6.99460135,74.999008,123.317039,76.386818
51,5.329754146925876,190.176,32.027,1.175,0.851,0.149,0.382,0.597,0.42,0.509,0.226,0.532,0.271,0.523,0.352,0.466,0.31,5.0,0.2085458,6.929,3.817,1.014,0.575541,0.829142431,45.066612,112.110786,107.073784
52,6.8297382846050425,241.899,143.154,3.89,0.622,0.144,0.24,0.652,0.412,0.101,0.167,0.226,0.247,0.094,0.266,0.434,0.236,6.0,0.3410537,8.173,4.4,1.04,0.558182,3.30259736,75.394379,118.071365,100.053955
53,6.1938200260161125,28.706,4.2,3.061,0.798,0.143,0.437,0.442,0.343,0.24,0.128,0.276,0.19,0.325,0.176,0.407,0.296,6.0,0.2179568,8.418,4.501,1.044,0.60322,4.15141096,83.955368,143.026398,83.052704
55,5.978810700930062,90.374,5.135,2.256,0.924,0.15,0.164,0.459,0.358,0.275,0.19,0.331,0.21,0.353,0.225,0.327,0.227,7.0,0.2952655,6.856,3.784,1.024,0.48994,3.63881621,41.607395,126.998619,96.169945
56,5.510041520575165,37.605,3.235,0.813,0.903,0.149,0.638,0.407,0.45,0.147,0.218,0.22,0.255,0.257,0.327,0.498,0.316,6.0,0.2185192,7.146,4.875,1.018,0.615788,1.50540193,46.897114,118.463951,91.426666
57,7.886056647693163,251.532,135.191,5.967,0.641,0.143,0.805,0.206,0.461,0.24,0.211,0.144,0.3,0.282,0.295,0.491,0.424,6.0,0.2603429,7.917,4.902,1.043,0.595669,7.09350198,81.423233,172.369202,85.511185
58,6.764471553092451,37.835,5.364,1.525,0.846,0.14,0.555,0.45,0.451,0.261,0.162,0.309,0.235,0.337,0.293,0.485,0.329,4.0,0.2285591,8.535,5.137,1.051,0.656141,5.78043967,84.100662,196.699524,97.530342
59,5.441291429466834,35.455,2.157,1.049,0.917,0.149,0.628,0.494,0.452,0.238,0.189,0.295,0.245,0.352,0.31,0.525,0.33,7.0,0.1969059,7.276,4.89,1.05,0.593241,8.03903427,37.315464,145.4888,98.606827
60,5.429457060118103,369.815,147.045,7.078,0.706,0.151,0.311,0.336,0.443,0.152,0.461,0.298,0.428,0.282,0.533,0.364,0.276,3.0,0.2942796,6.693,1.406,1.012,0.483078,2.93680701,22.617413,144.469986,50.447365
61,6.3979400086720375,281.539,17.903,1.63,0.935,0.141,0.783,0.395,0.339,0.192,0.173,0.252,0.199,0.269,0.288,0.505,0.375,3.0,0.1957603,8.711,4.701,1.044,0.65561,5.20551316,57.90773,167.506714,112.89489
