mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,74,75,76,84,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
33,7.301029995663981,22.394,3.852,0.479,0.838,0.156,0.534,0.455,0.297,0.563,0.198,0.256,0.463,0.307,0.191,0.649,0.252,0.402,98.812,0.428,0.339,0.32,0.434,8.0,0.0004894,6.36,4.442,1.0,0.506076,0.852823636,64.658432,132.817886,68.403992
34,7.301029995663981,21.052,3.658,0.53,0.834,0.159,0.509,0.447,0.24,0.479,0.226,0.049,0.468,0.289,0.097,0.365,0.337,0.105,90.094,0.399,0.251,0.284,0.269,3.0,0.0004836,6.016,4.169,1.0,0.481653,2.18923706,52.503277,170.363922,84.616463
35,7.154901959985743,27.39,1.805,0.74,0.915,0.159,0.524,0.382,0.378,0.524,0.158,0.123,0.456,0.212,0.195,0.37,0.296,0.225,71.041,0.428,0.268,0.287,0.297,6.0,0.000515,6.429,4.734,1.0,0.535727,2.98081241,63.382767,118.340462,71.012741
36,6.920818753952375,30.827,3.01,0.413,0.9,0.153,0.571,0.501,0.392,0.393,0.243,0.144,0.433,0.294,0.217,0.424,0.345,0.249,106.758,0.488,0.26,0.314,0.339,9.0,0.0004661,6.759,5.016,1.0,0.526195,3.39166279,72.563255,120.997467,66.119308
37,6.721246399047171,29.684,3.2,0.407,0.892,0.155,0.566,0.47,0.397,0.483,0.375,0.185,0.454,0.335,0.213,0.559,0.499,0.341,108.346,0.478,0.348,0.334,0.466,7.0,0.0005017,6.362,4.904,1.0,0.5478,1.97879999,63.488735,142.024231,50.740051
38,5.5003129173815966,30.104,3.588,0.682,0.876,0.152,0.592,0.404,0.388,0.519,0.194,0.153,0.486,0.24,0.213,0.588,0.243,0.267,130.985,0.461,0.289,0.313,0.366,2.0,0.0004693,7.253,3.999,1.0,0.554342,2.60336644,77.742279,149.849457,65.06781
39,6.200659450546418,22.567,4.994,0.387,0.807,0.156,0.559,0.481,0.297,0.6,0.464,0.37,0.493,0.382,0.198,0.706,0.654,0.596,123.384,0.445,0.478,0.358,0.652,4.0,0.0005237,7.245,4.203,1.0,0.522581,1.55980279,94.485016,210.648407,90.463936
40,7.522878745280337,23.239,4.718,0.592,0.814,0.155,0.569,0.448,0.375,0.444,0.237,0.128,0.457,0.301,0.183,0.446,0.328,0.227,126.179,0.464,0.27,0.314,0.334,5.0,0.0005234,6.675,3.675,1.0,0.492532,1.890036,59.119637,148.30748,74.218895
41,7.301029995663981,20.733,4.053,0.501,0.82,0.158,0.56,0.504,0.402,0.706,0.177,0.246,0.518,0.302,0.23,0.887,0.238,0.433,96.446,0.489,0.376,0.35,0.52,3.0,0.0004995,6.202,4.706,1.0,0.50396,2.66180271,63.100815,163.903244,73.232391
42,8.0,22.131,4.934,0.356,0.807,0.155,0.591,0.489,0.43,0.552,0.323,0.237,0.497,0.381,0.214,0.657,0.388,0.47,118.841,0.503,0.371,0.364,0.505,5.0,0.000477,6.437,3.144,1.0,0.495536,2.76741702,65.293228,135.170471,59.381546
