mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
53,7.698970004336019,4.45,13.709,6.337,0.816,0.657,0.155,0.455,0.397,0.26,0.544,0.309,0.068,0.308,0.123,0.423,0.108,0.307,5.0,0.2107564,6.676,3.144,1.038,0.45654,6.17419045,86.446602,144.828918,82.104286
54,7.397940008672037,3.17,17.242,6.658,0.977,0.693,0.153,0.505,0.42,0.32,0.78,0.299,0.107,0.32,0.162,0.409,0.184,0.395,5.0,0.2278632,7.173,3.212,1.052,0.516794,7.30841199,65.017014,156.914215,76.901932
55,8.0,6.73,19.741,5.844,1.279,0.735,0.151,0.506,0.378,0.302,0.418,0.329,0.087,0.31,0.149,0.505,0.163,0.278,9.0,0.2459483,7.413,3.007,1.03,0.486536,3.46357571,62.107731,150.148941,79.947327
56,5.300162274132754,4.0,13.187,9.681,1.417,0.543,0.152,0.449,0.369,0.362,0.351,0.205,0.119,0.246,0.188,0.241,0.216,0.225,4.0,0.218678,6.803,4.515,1.03,0.445197,4.47976245,92.384705,175.567139,105.826286
57,4.500312917381596,7.16,318.803,40.8,12.354,0.857,0.15,0.665,0.048,0.5,0.635,0.193,0.459,0.042,0.436,0.017,0.471,0.429,6.0,0.2384446,7.442,4.147,1.04,0.50268,3.7364308,84.867332,191.998779,108.173828
58,5.100179497572904,2.09,131.182,30.932,4.45,0.788,0.152,0.105,0.058,0.49,0.076,0.149,0.351,0.049,0.38,0.027,0.297,0.192,7.0,0.1899083,7.024,4.079,1.079,0.465691,5.51085463,82.809158,195.367203,88.073524
59,4.508638306165727,9.36,91.781,7.45,4.511,0.885,0.15,0.128,0.474,0.414,0.097,0.656,0.312,0.447,0.369,0.754,0.33,0.355,3.0,0.3288737,6.86,4.079,1.122,0.423421,9.92714941,59.310474,168.971725,76.518585
60,5.300162274132754,7.89,19.341,8.56,1.467,0.659,0.148,0.499,0.362,0.429,0.436,0.198,0.138,0.243,0.221,0.251,0.242,0.257,6.0,0.2071026,7.531,4.01,1.031,0.502031,4.0668374,79.019455,190.100266,96.708817
61,6.823908740944319,6.41,13.667,6.859,1.258,0.627,0.153,0.446,0.478,0.36,0.309,0.426,0.145,0.38,0.2,0.553,0.223,0.293,4.0,0.2752917,6.889,5.823,1.041,0.429439,5.34481656,89.820633,200.586838,99.14888
62,6.508638306165727,7.0,77.878,11.769,4.816,0.824,0.153,0.111,0.494,0.473,0.06,0.63,0.533,0.477,0.403,0.365,0.535,0.408,5.0,0.2012161,7.212,3.144,1.053,0.498922,6.33082132,87.372948,148.68158,101.714653
63,7.301029995663981,2.98,130.66,8.495,1.277,0.93,0.149,0.201,0.434,0.356,0.12,0.535,0.17,0.418,0.209,0.706,0.276,0.275,2.0,0.2130139,7.598,3.076,1.042,0.50605,5.34045482,73.965691,148.42923,89.157913
64,6.0,4.79,230.32,6.885,1.089,0.967,0.151,0.612,0.383,0.38,0.616,0.255,0.277,0.281,0.243,0.34,0.46,0.382,3.0,0.2563328,7.679,4.447,1.054,0.569092,4.28738454,91.411415,209.125473,114.257591
65,5.903089986991944,9.51,246.066,12.866,1.935,0.943,0.155,0.323,0.524,0.425,0.253,0.444,0.377,0.454,0.35,0.419,0.32,0.358,3.0,0.1706183,6.665,3.212,1.031,0.458876,4.3292712,66.779541,157.417526,77.264954
66,5.600326278518962,5.37,239.536,163.309,5.062,0.587,0.153,0.473,0.671,0.356,0.454,0.979,0.507,0.683,0.368,0.74,0.27,0.647,1.0,0.2401055,7.036,3.007,1.038,0.499847,3.76614463,57.252552,174.719727,79.415558
67,6.0,6.03,109.759,66.705,5.461,0.603,0.155,0.086,0.132,0.339,0.25,0.002,0.315,0.015,0.312,0.022,0.349,0.189,3.0,0.1127368,7.105,3.212,1.035,0.508132,2.65957713,108.510284,178.937714,105.950096
68,5.400116927926312,6.75,11.246,5.171,2.441,0.596,0.153,0.473,0.525,0.448,0.574,0.493,0.335,0.446,0.339,0.438,0.343,0.468,5.0,0.4419068,6.693,2.973,1.093,0.431185,10.0886751,67.967628,168.440598,98.362274
69,6.102372908709558,1.33,119.612,20.729,6.074,0.817,0.151,0.147,0.064,0.339,0.08,0.019,0.014,0.015,0.293,0.023,0.375,0.038,5.0,0.1381435,7.296,2.939,1.025,0.529444,4.29553685,97.736755,159.549561,85.997116
70,7.301029995663981,3.28,16.796,6.154,1.507,0.687,0.154,0.445,0.386,0.391,0.315,0.207,0.113,0.282,0.19,0.277,0.212,0.212,6.0,0.1618359,6.534,4.312,1.018,0.439902,3.3453422,89.441727,189.666183,100.318886
71,7.397940008672037,8.61,238.774,7.439,4.006,0.954,0.151,0.458,0.46,0.378,0.638,0.219,0.177,0.301,0.244,0.275,0.235,0.345,5.0,0.1967659,7.355,3.076,1.028,0.509645,0.696827512,92.900215,154.941971,66.542534
72,5.096910013008056,5.55,18.658,3.786,1.374,0.783,0.15,0.589,0.502,0.474,0.835,0.235,0.136,0.332,0.226,0.359,0.28,0.402,8.0,0.1101944,6.458,3.11,1.064,0.503535,9.84091863,52.790279,155.838913,101.439163
73,7.472284193781353,7.85,15.436,2.836,1.443,0.783,0.165,0.551,0.466,0.435,0.691,0.2,0.157,0.261,0.234,0.267,0.304,0.349,9.0,0.1921339,5.475,4.566,1.091,0.431554,7.12816177,33.996304,98.322037,59.015381
74,7.657577319177793,8.53,396.472,8.388,3.117,0.972,0.16,0.985,0.557,0.321,1.045,0.362,0.147,0.398,0.191,0.427,0.197,0.518,4.0,0.1108997,5.378,4.394,1.051,0.371625,3.8792475,80.583328,106.741104,65.721931
75,5.985479461242076,7.47,197.247,14.437,1.028,0.927,0.153,0.302,0.487,0.371,0.277,0.326,0.372,0.389,0.296,0.369,0.3,0.325,6.0,0.0996614,6.38,2.631,1.136,0.463902,12.4283873,69.876099,99.898476,93.225136
76,6.638272163982407,5.3,17.949,3.239,1.533,0.79,0.154,0.592,0.368,0.42,0.725,0.355,0.184,0.328,0.25,0.449,0.274,0.421,10.0,0.1781965,6.083,4.412,1.08,0.473535,10.5144077,79.372444,122.323158,85.140282
