mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
66,5.600326278518962,34.386,6.905,1.711,0.8,0.153,0.078,0.396,0.207,0.041,0.249,0.005,0.3,0.031,0.304,0.029,0.227,0.098,757.251,4.0,0.1503901,7.227,2.905,1.038,0.517501,7.08107083,65.580696,141.14035,100.347511
67,6.0,16.405,6.315,0.648,0.702,0.155,0.504,0.363,0.348,0.711,0.292,0.094,0.283,0.161,0.294,0.173,0.405,0.366,208.872,3.0,0.1291288,6.982,3.076,1.031,0.506177,2.61278803,64.572227,137.583313,81.836533
68,5.400116927926312,13.855,5.418,1.479,0.668,0.153,0.489,0.422,0.377,0.768,0.238,0.453,0.296,0.311,0.336,0.313,0.429,0.486,235.337,4.0,0.1707064,7.253,3.144,1.049,0.478463,6.14594994,68.975166,140.020264,64.512161
69,6.102372908709558,321.808,182.133,4.139,0.633,0.151,0.494,0.624,0.363,0.541,0.44,0.27,0.464,0.278,0.531,0.339,0.494,0.417,303816.239,7.0,0.1284366,7.497,3.11,1.031,0.531973,3.980215,73.717613,145.473602,110.196945
70,7.301029995663981,391.193,96.518,7.426,0.79,0.153,0.975,0.137,0.49,0.988,0.093,0.253,0.12,0.345,0.117,0.33,0.534,0.445,322246.794,5.0,0.1185966,7.047,4.208,1.014,0.444478,3.38482358,65.772987,177.641663,97.175552
71,7.397940008672037,224.09,7.685,2.28,0.957,0.151,0.509,0.385,0.465,0.614,0.166,0.371,0.252,0.326,0.2,0.465,0.453,0.384,6411.795,7.0,0.1944886,7.184,3.007,1.029,0.516396,3.56708262,68.469398,172.265457,104.032204
72,5.096910013008056,102.243,7.444,1.462,0.92,0.15,0.216,0.414,0.345,0.331,0.472,0.212,0.411,0.248,0.794,0.285,0.325,0.338,2145.62,10.0,0.2175496,6.542,3.144,1.061,0.499693,3.22450997,79.517189,179.447952,72.68222
73,7.472284193781353,173.516,9.603,0.333,0.946,0.165,0.502,0.426,0.238,0.355,0.244,0.036,0.314,0.078,0.357,0.101,0.389,0.212,2466.152,9.0,0.1279553,5.412,4.532,1.079,0.472883,5.94477642,50.444588,132.053146,188.66832
74,7.657577319177793,28.752,8.642,0.304,0.763,0.16,0.056,0.486,0.339,0.008,0.287,0.084,0.381,0.158,0.368,0.181,0.294,0.126,373.105,7.0,0.1087482,5.665,4.028,1.117,0.375961,3.76877091,46.094097,127.149467,33.649475
75,5.985479461242076,151.46,105.601,74.998,0.456,0.153,0.193,0.145,0.135,0.07,0.091,0.034,0.088,0.182,0.134,0.073,0.158,0.065,1235150.701,8.0,0.0980797,6.683,2.563,1.137,0.414962,9.24721937,69.038345,122.582642,49.77776
76,6.638272163982407,228.955,17.395,2.046,0.922,0.154,0.262,0.49,0.402,0.146,0.288,0.265,0.346,0.299,0.382,0.343,0.385,0.233,12882.592,9.0,0.2560612,5.961,4.407,1.056,0.494039,8.14480519,63.088627,110.366791,71.258888
77,5.537602002101044,28.462,6.993,1.406,0.772,0.156,0.037,0.578,0.363,0.144,0.405,0.22,0.498,0.219,0.434,0.368,0.326,0.257,565.534,4.0,0.1842079,5.419,3.464,1.062,0.356487,6.60904242,77.99675,131.927795,125.290634
78,10.045757490560677,21.355,3.889,1.771,0.79,0.153,0.626,0.44,0.417,0.746,0.233,0.444,0.31,0.325,0.369,0.292,0.494,0.474,301.878,11.0,0.2212177,7.495,3.144,1.055,0.532791,9.11745463,63.028805,98.340706,72.089081
79,7.136677139879544,10.275,7.031,0.384,0.581,0.161,0.473,0.482,0.251,0.255,0.41,0.038,0.407,0.088,0.518,0.099,0.402,0.234,124.333,10.0,0.0946926,5.4,4.933,1.07,0.375537,5.79808232,60.998413,86.520813,128.229843
80,7.619788758288394,11.551,5.212,0.588,0.666,0.158,0.5,0.566,0.222,0.296,0.469,0.051,0.443,0.097,0.518,0.113,0.429,0.272,122.822,8.0,0.0697308,5.257,3.452,1.013,0.371532,4.10249867,71.902618,95.623726,45.50193
81,6.505845405981557,276.839,10.94,1.627,0.957,0.156,0.931,0.561,0.398,0.968,0.326,0.142,0.407,0.225,0.386,0.223,0.63,0.479,8713.937,10.0,0.1213786,6.129,3.144,1.142,0.415193,8.43711335,76.236816,91.780823,51.055416
82,7.292429823902063,32.831,7.747,0.982,0.79,0.159,0.058,0.39,0.379,0.009,0.182,0.125,0.282,0.206,0.255,0.267,0.276,0.106,585.456,5.0,0.1701657,5.538,3.042,1.023,0.393186,3.22866986,95.21862,115.517921,87.631813
83,6.767003889607846,194.084,9.268,0.808,0.951,0.159,0.326,0.465,0.425,0.235,0.249,0.41,0.317,0.354,0.332,0.324,0.405,0.298,3621.662,8.0,0.1007687,6.103,2.995,1.123,0.380746,2.28886105,92.520241,90.96405,92.232018
84,6.899629454882437,193.195,9.308,0.924,0.95,0.159,0.592,0.476,0.229,0.816,0.22,0.153,0.314,0.185,0.336,0.147,0.432,0.396,3849.565,6.0,0.1439218,6.05,2.957,1.09,0.393379,3.16451445,47.798832,85.669327,46.93684
85,7.481486060122112,195.074,39.756,4.188,0.816,0.159,0.521,0.032,0.441,0.577,0.002,0.039,0.006,0.289,0.008,0.374,0.331,0.206,41453.904,8.0,0.1127425,6.506,3.134,1.075,0.418793,10.1072763,80.468452,82.940895,42.185768
86,7.356547323513812,199.791,4.344,1.902,0.97,0.159,0.522,0.267,0.397,0.621,0.083,0.26,0.113,0.323,0.121,0.327,0.395,0.321,3112.978,9.0,0.2016356,6.309,3.162,1.095,0.431634,6.72470153,55.473358,71.619324,70.349892
