mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
44,6.823908740944319,32.421,1.804,1.243,0.914,0.153,0.564,0.394,0.375,0.54,0.256,0.164,0.238,0.21,0.362,0.256,0.444,0.32,4.0,0.2571906,7.074,4.343,1.02,0.57838,4.49650918,77.782173,140.119446,63.519424
45,6.920818753952375,147.591,14.767,1.665,0.9,0.151,0.417,0.418,0.49,0.425,0.316,0.191,0.374,0.254,0.38,0.334,0.442,0.311,6.0,0.141579,7.072,3.247,1.01,0.588872,2.34910977,72.077522,137.095169,79.177917
46,8.0,16.068,6.057,1.122,0.691,0.155,0.513,0.342,0.367,0.39,0.214,0.093,0.254,0.164,0.284,0.181,0.407,0.232,6.0,0.0980142,6.1,4.513,1.015,0.43774,2.97213259,63.364693,146.353256,106.241943
47,8.0,17.0,6.083,1.697,0.686,0.153,0.528,0.362,0.396,0.672,0.162,0.132,0.252,0.205,0.204,0.195,0.429,0.322,8.0,0.2298549,6.408,3.212,1.025,0.491969,4.64856354,92.610275,147.442307,104.532753
48,8.0,280.227,151.52,8.517,0.636,0.155,0.825,0.209,0.339,0.818,0.255,0.133,0.173,0.209,0.32,0.167,0.458,0.402,5.0,0.2303706,6.412,3.178,1.022,0.477619,2.03245772,101.049988,158.758072,93.35939
49,8.0,54.636,10.1,2.76,0.809,0.155,0.069,0.547,0.353,0.018,0.01,0.09,0.182,0.23,0.142,0.336,0.323,0.039,3.0,0.1757712,6.46,3.247,1.013,0.45437,2.72651966,67.410706,142.085999,68.542023
50,7.698970004336019,15.578,5.35,1.568,0.693,0.153,0.47,0.363,0.336,0.734,0.152,0.238,0.249,0.202,0.208,0.313,0.39,0.375,5.0,0.1458045,7.256,3.144,1.04,0.483017,5.15418063,87.158203,139.659042,85.779289
51,7.698970004336019,254.118,151.743,4.642,0.619,0.155,0.343,0.286,0.405,0.255,0.201,0.374,0.209,0.35,0.295,0.395,0.344,0.277,2.0,0.1060145,6.947,3.076,1.032,0.454585,4.71133226,89.663261,131.94725,86.499855
52,7.698970004336019,18.611,5.6,1.147,0.734,0.153,0.536,0.343,0.358,0.661,0.223,0.147,0.256,0.197,0.276,0.217,0.412,0.344,0.0,0.1652107,6.678,3.11,1.041,0.510434,2.48648323,63.449253,138.692093,64.072372
53,7.698970004336019,29.147,11.164,4.992,0.643,0.155,0.053,0.266,0.4,0.129,0.539,0.199,0.164,0.285,0.613,0.235,0.239,0.289,4.0,0.0855996,6.548,2.973,1.038,0.500486,2.72461182,54.330185,155.265045,80.016251
