mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
70,7.301029995663981,1.5,16.372,8.001,0.958,0.646,0.153,0.499,0.388,0.344,0.371,0.192,0.078,0.254,0.147,0.25,0.166,0.411,0.214,5.0,0.1145409,6.404,4.242,1.015,0.449127,3.43070839,87.008202,214.198593,99.257874
71,7.397940008672037,3.97,19.555,6.08,1.4,0.723,0.151,0.463,0.354,0.34,0.537,0.164,0.113,0.253,0.176,0.207,0.176,0.385,0.271,4.0,0.1665215,7.629,3.178,1.029,0.504192,4.52537326,55.678303,145.117813,105.218628
72,5.096910013008056,8.78,18.854,3.009,1.388,0.811,0.15,0.564,0.57,0.415,0.758,0.261,0.129,0.387,0.221,0.41,0.265,0.516,0.383,8.0,0.1713545,6.71,3.212,1.06,0.493996,5.42413274,62.918816,123.381447,161.582016
73,7.472284193781353,7.49,148.163,3.057,1.11,0.973,0.165,0.583,0.313,0.319,0.38,0.525,0.066,0.337,0.154,0.222,0.172,0.405,0.324,8.0,0.1441167,5.591,4.629,1.09,0.477259,6.23291273,45.002918,115.836296,45.271797
74,7.657577319177793,7.89,363.549,8.495,1.618,0.973,0.16,0.983,0.466,0.464,1.024,0.305,0.189,0.368,0.272,0.319,0.287,0.637,0.506,8.0,0.1086676,5.468,4.448,1.053,0.380009,3.63152647,60.374161,85.006447,80.942863
75,5.985479461242076,1.74,208.745,129.498,69.975,0.511,0.153,0.201,0.198,0.131,0.134,0.068,0.037,0.123,0.066,0.075,0.052,0.177,0.08,12.0,0.0940647,6.403,2.461,1.127,0.452821,6.8187176,78.749664,91.208641,59.047173
76,6.638272163982407,4.85,17.422,4.107,0.733,0.783,0.154,0.587,0.38,0.277,0.482,0.585,0.084,0.385,0.123,0.787,0.143,0.415,0.384,6.0,0.13263,6.07,4.611,1.076,0.448756,5.17137219,94.834396,136.431961,55.712402
77,5.537602002101044,3.84,27.175,6.18,2.355,0.761,0.156,0.039,0.436,0.377,0.006,0.539,0.003,0.429,0.045,0.782,0.065,0.284,0.183,6.0,0.1747882,5.444,3.361,1.073,0.362189,5.85759342,56.713425,106.519409,122.304451
78,10.045757490560677,1.34,23.6,3.893,1.538,0.813,0.153,0.606,0.415,0.395,0.746,0.218,0.421,0.289,0.294,0.358,0.264,0.472,0.462,6.0,0.1992919,7.622,3.076,1.05,0.556242,9.62242545,75.163391,114.925171,70.474991
79,7.136677139879544,7.42,136.521,124.074,9.138,0.506,0.161,0.188,0.521,0.435,0.114,0.205,0.164,0.204,0.255,0.058,0.255,0.381,0.161,9.0,0.1066311,5.412,4.693,1.071,0.378253,5.85700872,116.077187,75.743874,57.295105
80,7.619788758288394,0.97,11.096,6.358,0.51,0.618,0.158,0.498,0.571,0.195,0.289,0.418,0.041,0.42,0.083,0.467,0.095,0.421,0.249,6.0,0.0705587,5.608,3.486,1.011,0.375179,2.57986408,83.162491,101.636337,63.298958
81,6.505845405981557,2.89,209.335,43.713,1.347,0.823,0.156,0.834,0.05,0.374,0.928,0.004,0.097,0.013,0.187,0.018,0.214,0.419,0.343,5.0,0.1223414,5.892,2.939,1.137,0.41339,8.6143252,86.469101,121.592743,65.330803
82,7.292429823902063,3.07,312.314,7.742,1.271,0.972,0.159,0.802,0.529,0.336,0.757,0.358,0.119,0.447,0.187,0.374,0.12,0.556,0.412,9.0,0.0349619,5.606,2.939,1.023,0.37076,3.15759937,106.236931,145.917953,89.369545
83,6.767003889607846,2.15,209.584,8.411,0.813,0.958,0.159,0.327,0.501,0.438,0.258,0.291,0.43,0.402,0.348,0.476,0.366,0.422,0.326,5.0,0.0996804,5.948,2.996,1.116,0.383101,3.17738032,49.166653,115.011169,64.101227
84,6.899629454882437,1.41,10.214,8.785,0.722,0.518,0.159,0.478,0.521,0.391,0.343,0.206,0.323,0.437,0.306,0.411,0.295,0.463,0.291,10.0,0.1637408,5.696,2.923,1.12,0.382925,4.55306288,66.135712,116.035088,67.91291
85,7.481486060122112,6.37,225.289,8.21,0.835,0.961,0.159,0.853,0.546,0.407,0.988,0.259,0.617,0.354,0.379,0.366,0.358,0.602,0.621,8.0,0.1086258,7.024,3.1,1.149,0.43326,9.84032928,79.352219,87.63517,54.45689
86,7.356547323513812,5.56,44.381,12.734,2.022,0.75,0.159,0.075,0.522,0.323,0.223,0.319,0.182,0.411,0.229,0.342,0.232,0.306,0.241,12.0,0.1430925,6.214,3.367,1.124,0.445962,9.70531453,70.185944,107.247406,65.666649
87,7.318758762624412,9.79,203.887,16.899,0.617,0.921,0.159,0.322,0.508,0.385,0.215,0.301,0.464,0.371,0.317,0.422,0.288,0.405,0.327,8.0,0.1941354,6.381,3.196,1.193,0.429729,11.0759096,62.830853,75.399986,76.278694
88,8.096910013008056,5.17,13.717,5.659,1.461,0.658,0.159,0.566,0.479,0.488,0.694,0.351,0.316,0.371,0.34,0.409,0.35,0.511,0.453,7.0,0.1617882,6.778,3.128,1.146,0.43965,9.05772796,96.216034,99.241745,72.807373
89,6.94692155651658,8.75,10.106,9.207,0.667,0.506,0.159,0.508,0.519,0.377,0.434,0.206,0.216,0.312,0.28,0.329,0.281,0.468,0.285,6.0,0.22196,6.142,3.122,1.092,0.391088,3.05542345,71.958221,66.143669,73.321854
90,6.665546248849069,4.25,16.073,5.546,1.512,0.695,0.16,0.594,0.433,0.436,0.36,0.219,0.346,0.326,0.303,0.354,0.292,0.488,0.308,10.0,0.153119,6.551,3.128,1.173,0.418368,9.58544383,66.944023,99.147926,46.545696
91,6.906578314837765,3.28,224.408,13.384,2.01,0.936,0.156,0.766,0.481,0.364,0.671,0.364,0.237,0.394,0.244,0.427,0.247,0.537,0.424,10.0,0.1105744,6.291,3.494,1.174,0.445118,10.0001363,86.199463,121.347801,60.95232
92,5.932557157223619,8.3,273.122,20.442,4.597,0.916,0.153,0.29,0.517,0.455,0.128,0.289,0.091,0.353,0.196,0.389,0.207,0.421,0.17,8.0,0.1044643,6.868,4.275,1.166,0.456811,11.6996643,76.613708,107.77002,139.187912
93,7.173925197299173,8.02,316.798,160.206,2.621,0.661,0.153,0.721,0.416,0.35,0.772,0.266,0.588,0.364,0.331,0.396,0.154,0.496,0.542,14.0,0.060014,6.443,4.412,1.076,0.47253,8.01307584,99.61145,96.863678,95.457306
94,7.769551078621726,0.85,24.647,3.753,1.511,0.824,0.151,0.579,0.348,0.359,0.375,0.199,0.33,0.249,0.271,0.325,0.234,0.429,0.301,8.0,0.1648826,6.851,4.983,1.119,0.490603,9.70203032,67.274582,98.515289,70.022194
95,5.823908740944319,5.9,217.035,17.221,1.922,0.919,0.151,0.373,0.432,0.472,0.276,0.192,0.339,0.26,0.352,0.309,0.394,0.426,0.269,13.0,0.1585836,7.246,4.589,1.18,0.472687,10.4746006,71.939201,132.628082,130.441666
96,5.881404634776238,7.46,19.268,8.184,1.636,0.662,0.151,0.538,0.382,0.421,0.355,0.206,0.394,0.259,0.369,0.307,0.341,0.447,0.318,10.0,0.1663042,7.708,4.712,1.098,0.479438,7.34921926,96.032074,970.163818,92.739548
97,6.218244625347531,4.07,100.192,15.943,2.085,0.848,0.156,0.156,0.507,0.507,0.15,0.297,0.35,0.381,0.376,0.404,0.397,0.39,0.266,7.0,0.1125618,6.462,4.645,1.102,0.452997,7.12277538,46.602913,978.558228,100.395164
98,6.471083299722345,3.03,27.85,4.145,1.392,0.834,0.151,0.528,0.368,0.396,0.302,0.241,0.356,0.265,0.351,0.331,0.311,0.43,0.3,12.0,0.0738571,6.895,4.678,1.158,0.50536,9.49114284,90.677422,97.459366,101.110191
99,6.586700235918748,6.86,258.578,67.617,5.174,0.78,0.165,0.719,0.106,0.466,0.844,0.004,0.091,0.017,0.382,0.053,0.399,0.43,0.313,6.0,0.0145449,4.954,4.712,1.051,0.333175,4.63127851,60.100315,983.177856,92.593628
100,6.698970004336019,7.25,11.807,3.79,0.884,0.716,0.168,0.602,0.402,0.23,0.417,0.293,0.239,0.28,0.155,0.259,0.182,0.411,0.317,5.0,0.0837625,5.154,3.491,1.031,0.368417,4.3040407,66.53672,80.722527,50.095631
101,6.6020599913279625,4.78,12.964,3.537,0.955,0.743,0.168,0.595,0.396,0.219,0.402,0.292,0.257,0.279,0.17,0.286,0.196,0.403,0.317,6.0,0.1316424,5.612,2.998,1.04,0.382293,4.11460177,63.887539,84.922409,51.793476
102,6.070581074285707,7.3,16.648,3.935,0.863,0.776,0.162,0.545,0.381,0.243,0.383,0.273,0.236,0.27,0.182,0.267,0.225,0.39,0.297,7.0,0.2017137,6.208,3.237,1.025,0.418896,3.45706047,66.346825,93.067078,50.585041
103,7.356547323513812,9.21,352.704,7.854,2.366,0.972,0.158,0.786,0.444,0.319,0.713,0.272,0.141,0.317,0.201,0.39,0.116,0.516,0.375,9.0,0.2348206,6.665,3.182,1.052,0.432604,5.48296536,71.577003,95.17775,82.74279
104,7.00436480540245,4.35,12.023,3.799,0.938,0.717,0.168,0.603,0.4,0.322,0.385,0.331,0.066,0.287,0.136,0.271,0.16,0.442,0.261,6.0,0.0859084,5.297,3.954,1.017,0.365002,2.93674493,58.458576,124.289963,33.186771
105,6.920818753952375,6.23,11.755,3.288,1.609,0.706,0.167,0.626,0.367,0.387,0.62,0.285,0.21,0.274,0.245,0.259,0.304,0.46,0.372,6.0,0.1548782,5.563,2.347,1.026,0.391865,4.05606239,48.686104,80.747032,56.739784
106,7.638272163982407,0.02,11.916,3.863,1.021,0.709,0.167,0.586,0.399,0.322,0.76,0.264,0.055,0.286,0.132,0.265,0.155,0.436,0.36,6.0,0.0831867,5.382,2.382,1.003,0.41106,4.4945532,47.034161,135.322235,71.989334
