mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
58,5.100179497572904,1.25,293.583,188.285,3.349,0.605,0.152,0.45,0.31,0.404,0.618,0.177,0.335,0.184,0.32,0.126,0.242,0.388,0.377,0.312,3.0,0.4086775,6.522,4.113,1.066,0.410738,7.66554677,80.584312,159.674545,83.977493
59,4.508638306165727,5.37,12.096,4.78,2.7,0.618,0.15,0.488,0.579,0.357,0.523,0.308,0.426,0.402,0.31,0.371,0.568,0.475,0.419,0.506,5.0,0.4241197,6.338,3.942,1.11,0.425367,7.16560398,70.20977,163.143997,128.455124
60,5.300162274132754,2.78,24.422,7.081,1.091,0.749,0.148,0.538,0.303,0.315,0.44,0.184,0.102,0.215,0.154,0.251,0.174,0.385,0.242,0.281,7.0,0.177848,7.444,4.045,1.03,0.530668,5.36116532,55.020164,206.62355,71.373856
61,6.823908740944319,2.01,283.775,90.609,2.121,0.754,0.153,0.723,0.249,0.456,0.621,0.136,0.43,0.205,0.318,0.086,0.65,0.476,0.395,0.45,2.0,0.2733421,6.919,5.551,1.036,0.425112,4.04513562,124.498032,192.874512,83.299301
62,6.508638306165727,0.12,17.728,6.196,1.22,0.705,0.153,0.485,0.323,0.387,0.693,0.232,0.17,0.246,0.214,0.292,0.265,0.398,0.365,0.481,3.0,0.0876456,7.238,3.042,1.016,0.521654,5.06411091,87.754601,158.7547,89.783478
63,7.301029995663981,6.16,22.532,6.282,1.402,0.746,0.152,0.538,0.317,0.415,0.434,0.314,0.199,0.262,0.242,0.416,0.311,0.423,0.316,0.39,6.0,0.0968167,7.53,2.973,1.04,0.521115,4.90367891,73.414238,166.195358,108.187439
64,6.0,4.95,15.825,6.481,1.446,0.666,0.151,0.465,0.458,0.39,0.678,0.362,0.146,0.346,0.232,0.496,0.206,0.438,0.395,0.454,2.0,0.2035822,7.889,4.48,1.054,0.499588,5.50521594,78.371643,167.980499,122.832474
65,5.903089986991944,8.65,225.071,5.161,1.523,0.971,0.155,0.332,0.351,0.279,0.231,0.325,0.12,0.289,0.145,0.4,0.152,0.321,0.225,0.257,3.0,0.1436322,6.778,3.007,1.03,0.468461,4.73282186,82.823303,165.472427,94.515396
66,5.600326278518962,4.26,312.971,18.344,2.547,0.937,0.153,0.444,0.543,0.392,0.41,0.492,0.26,0.504,0.286,0.488,0.278,0.46,0.388,0.339,5.0,0.1299552,7.269,2.973,1.038,0.533313,2.47131431,64.395676,129.196487,86.401176
67,6.0,1.8,16.154,6.163,0.987,0.693,0.156,0.508,0.346,0.388,0.712,0.308,0.115,0.28,0.18,0.28,0.234,0.414,0.378,0.439,3.0,0.1215509,6.822,3.144,1.03,0.504467,3.2725907,100.548965,180.641205,94.982719
68,5.400116927926312,5.19,32.095,5.499,2.619,0.798,0.153,0.045,0.608,0.3,0.299,0.626,0.37,0.548,0.243,0.214,0.555,0.318,0.432,0.263,3.0,0.3691081,6.801,2.973,1.077,0.421689,9.58180471,54.000561,153.331177,109.943405
69,6.102372908709558,5.27,133.428,22.557,6.619,0.821,0.151,0.155,0.045,0.377,0.21,0.035,0.003,0.024,0.027,0.026,0.04,0.192,0.083,0.093,5.0,0.1442147,7.231,3.11,1.027,0.530952,4.09183092,66.997055,153.208923,92.650635
70,7.301029995663981,8.19,265.985,27.277,2.957,0.898,0.153,0.34,0.069,0.366,0.278,0.018,0.049,0.03,0.154,0.034,0.211,0.258,0.115,0.148,3.0,0.1350478,6.877,4.411,1.017,0.444932,3.8172491,82.856529,159.516632,72.241768
71,7.397940008672037,0.15,18.158,7.724,1.281,0.668,0.151,0.541,0.383,0.313,0.678,0.159,0.14,0.245,0.17,0.194,0.214,0.412,0.326,0.422,1.0,0.1698821,7.112,3.11,1.011,0.508428,4.92260104,78.145462,145.296677,89.215958
72,5.096910013008056,6.22,24.228,19.255,1.482,0.539,0.15,0.237,0.05,0.389,0.118,0.521,0.167,0.07,0.236,0.013,0.291,0.225,0.269,0.215,7.0,0.1889938,6.673,3.11,1.065,0.510413,5.23057367,109.317795,159.95845,94.091522
73,7.472284193781353,2.04,132.627,3.968,0.912,0.965,0.165,0.434,0.342,0.305,0.28,0.557,0.065,0.375,0.147,0.274,0.163,0.361,0.3,0.259,6.0,0.1486666,5.517,4.888,1.08,0.469491,6.59547353,71.574951,157.651016,160.1604
