mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101
63,8.431798275933005,227.018,8.004,2.187,0.957,0.149,0.73,0.44,0.526,0.299,0.275,0.364,0.357,0.356,0.566,0.386
64,8.267606240177031,86.875,6.323,1.299,0.919,0.145,0.101,0.373,0.344,0.402,0.097,0.171,0.42,0.209,0.273,0.199
65,8.136677139879543,9.574,5.318,1.19,0.595,0.15,0.422,0.402,0.406,0.384,0.167,0.225,0.596,0.233,0.41,0.316
66,8.075720713938118,23.558,11.112,4.242,0.605,0.148,0.03,0.39,0.429,0.036,0.001,0.033,0.237,0.11,0.283,0.031
67,7.795880017344075,10.216,4.363,1.205,0.647,0.151,0.473,0.545,0.374,0.443,0.068,0.153,0.484,0.187,0.464,0.36
68,7.886056647693163,14.263,8.088,0.95,0.612,0.147,0.432,0.398,0.355,0.527,0.074,0.15,0.371,0.179,0.395,0.322
70,8.031517051446064,83.986,11.394,0.736,0.874,0.147,0.097,0.457,0.252,0.347,0.057,0.109,0.377,0.12,0.269,0.172
76,8.040958607678906,39.723,8.365,1.148,0.807,0.151,0.056,0.408,0.375,0.012,0.07,0.163,0.501,0.203,0.28,0.035
78,8.337242168318426,177.583,9.507,1.302,0.943,0.151,0.467,0.4,0.352,0.568,0.094,0.166,0.497,0.202,0.406,0.399
79,7.0762380391713,19.13,2.791,1.066,0.832,0.162,0.589,0.367,0.239,0.49,0.291,0.257,0.272,0.394,0.399,0.406
80,9.522878745280336,10.313,4.568,1.084,0.646,0.153,0.46,0.389,0.379,0.234,0.116,0.182,0.404,0.204,0.409,0.308
81,10.0,103.809,4.992,1.13,0.944,0.154,0.12,0.41,0.344,0.209,0.116,0.179,0.397,0.194,0.291,0.172
82,8.958607314841775,119.861,10.638,2.803,0.899,0.151,0.199,0.509,0.448,0.57,0.324,0.313,0.715,0.534,0.385,0.385
83,8.309803919971486,312.568,6.153,1.452,0.976,0.154,0.926,0.435,0.421,0.294,0.122,0.208,0.413,0.23,0.594,0.474
85,7.508638306165727,292.143,4.861,1.584,0.978,0.159,0.808,0.534,0.455,0.286,0.186,0.28,0.439,0.246,0.599,0.392
86,7.366531544420414,10.11,5.353,1.539,0.595,0.152,0.437,0.337,0.311,0.161,0.174,0.205,0.237,0.243,0.362,0.354
87,8.2839966563652,8.918,5.768,1.155,0.563,0.154,0.467,0.407,0.358,0.28,0.125,0.202,0.454,0.191,0.411,0.311
88,8.698970004336019,8.636,4.985,1.029,0.59,0.153,0.453,0.368,0.321,0.224,0.225,0.176,0.313,0.487,0.381,0.263
