mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,13,20,21,31,32,75,76,100,101,107,108
44,8.886056647693163,1.45,236.293,6.354,2.924,0.962,0.161,0.637,0.458,0.455,2.343,0.32,0.271,0.35,0.319,0.359,0.477,0.517,0.386,6846.486,4832.273
45,9.045757490560677,9.74,195.885,6.428,0.895,0.964,0.156,0.633,0.395,0.283,0.368,0.36,0.048,0.362,0.112,0.299,0.139,0.437,0.432,2770.585,2299.816
46,8.886056647693163,7.94,266.083,6.422,1.354,0.972,0.151,0.927,0.339,0.396,0.78,0.106,0.13,0.171,0.208,0.211,0.226,0.554,0.415,4664.923,2494.026
47,8.0,8.7,142.785,6.091,2.472,0.943,0.162,0.189,0.469,0.491,1.872,0.346,0.277,0.379,0.343,0.468,0.539,0.383,0.253,3538.688,2170.34
49,9.221848749616356,4.64,149.418,81.184,6.298,0.631,0.151,0.198,0.088,0.342,4.266,0.007,0.018,0.022,0.167,0.042,0.266,0.209,0.033,90214.394,11060.241
50,8.522878745280337,0.4,8.936,6.016,0.847,0.566,0.155,0.372,0.491,0.368,0.419,0.323,0.088,0.412,0.17,0.467,0.195,0.41,0.253,127.756,75.202
51,8.481486060122112,4.55,7.647,6.209,1.28,0.505,0.153,0.384,0.454,0.417,0.751,0.275,0.137,0.371,0.217,0.384,0.223,0.418,0.315,141.129,96.293
52,8.275724130399212,8.5,226.155,4.724,1.338,0.974,0.156,0.928,0.545,0.349,0.672,0.515,0.075,0.458,0.151,0.445,0.17,0.608,0.537,3038.684,2255.664
53,8.67778070526608,4.7,286.429,7.654,2.1,0.967,0.152,0.835,0.482,0.401,1.245,0.663,0.139,0.52,0.243,0.567,0.239,0.572,0.494,7708.967,5806.096
54,8.585026652029182,2.41,7.621,5.634,1.247,0.526,0.154,0.422,0.446,0.447,0.893,0.278,0.221,0.369,0.279,0.42,0.224,0.438,0.302,127.531,83.768
55,8.585026652029182,9.29,146.249,8.678,2.336,0.93,0.153,0.215,0.457,0.503,1.955,0.179,0.355,0.295,0.399,0.318,0.553,0.392,0.218,4753.543,2424.888
56,8.0,3.97,8.214,4.256,1.338,0.595,0.156,0.45,0.542,0.405,0.647,0.381,0.081,0.436,0.175,0.531,0.192,0.466,0.312,112.257,68.918
