mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106
44,8.886056647693163,7.68,3.137,0.869,0.657,0.161,0.532,0.467,0.279,0.277,0.056,0.328,0.118,0.467,0.117,0.426,0.267,0.39
45,9.045757490560677,273.224,4.71,1.998,0.976,0.156,0.925,0.378,0.372,0.205,0.117,0.267,0.173,0.238,0.236,0.558,0.432,0.51
46,8.886056647693163,78.37,15.344,2.963,0.811,0.151,0.101,0.487,0.378,0.02,0.156,0.464,0.23,0.625,0.273,0.322,0.065,0.313
47,8.0,7.314,3.215,0.891,0.64,0.162,0.541,0.482,0.281,0.262,0.055,0.332,0.12,0.454,0.114,0.435,0.275,0.393
49,9.221848749616356,241.893,10.805,3.365,0.945,0.151,0.366,0.418,0.394,0.523,0.187,0.377,0.28,0.351,0.313,0.393,0.315,0.291
50,8.522878745280337,352.318,195.996,3.036,0.639,0.154,0.582,0.41,0.439,0.287,0.205,0.337,0.27,0.401,0.319,0.477,0.344,0.388
51,8.481486060122112,7.064,6.246,1.434,0.479,0.153,0.392,0.451,0.418,0.323,0.21,0.382,0.271,0.35,0.223,0.42,0.309,0.39
52,8.275724130399212,27.016,8.724,0.915,0.737,0.156,0.038,0.509,0.391,0.002,0.085,0.277,0.197,0.538,0.237,0.313,0.084,0.264
53,8.67778070526608,11.601,5.721,0.961,0.635,0.152,0.431,0.431,0.313,0.256,0.09,0.356,0.15,0.443,0.153,0.392,0.279,0.329
54,8.585026652029182,7.621,5.634,1.247,0.526,0.154,0.422,0.446,0.447,0.278,0.221,0.369,0.279,0.42,0.224,0.438,0.302,0.38
55,8.585026652029182,11.318,5.598,0.791,0.639,0.153,0.377,0.438,0.285,0.369,0.051,0.383,0.118,0.439,0.131,0.367,0.253,0.322
56,8.0,140.914,5.607,1.912,0.949,0.155,0.323,0.433,0.475,0.346,0.252,0.381,0.313,0.521,0.363,0.41,0.296,0.365
57,7.552841968657781,7.332,6.206,1.159,0.499,0.155,0.429,0.481,0.489,0.263,0.188,0.35,0.272,0.32,0.271,0.467,0.337,0.385
58,7.997833938243493,7.557,5.495,1.291,0.527,0.156,0.427,0.449,0.468,0.332,0.288,0.365,0.317,0.398,0.234,0.448,0.328,0.396
59,8.3767507096021,7.685,5.591,1.341,0.526,0.153,0.422,0.447,0.484,0.357,0.233,0.402,0.313,0.355,0.352,0.451,0.318,0.43
60,8.301029995663981,20.916,8.528,4.766,0.611,0.151,0.029,0.41,0.339,0.016,0.001,0.417,0.046,0.019,0.095,0.259,0.224,0.094
61,7.920818753952375,41.815,8.416,1.491,0.808,0.151,0.063,0.406,0.419,0.086,0.014,0.33,0.156,0.217,0.238,0.296,0.037,0.162
62,8.769551078621726,53.341,10.378,1.546,0.817,0.148,0.053,0.373,0.451,0.415,0.137,0.324,0.246,0.338,0.299,0.292,0.225,0.221
63,8.431798275933005,50.247,23.111,2.213,0.665,0.149,0.057,0.053,0.555,0.007,0.021,0.062,0.256,0.028,0.293,0.221,0.052,0.118
64,8.267606240177031,200.949,5.872,1.398,0.965,0.145,0.359,0.393,0.474,0.512,0.169,0.428,0.268,0.513,0.314,0.409,0.297,0.369
65,8.136677139879543,174.549,9.054,1.27,0.944,0.15,0.264,0.43,0.419,0.452,0.143,0.377,0.228,0.331,0.294,0.371,0.335,0.349
66,8.075720713938118,181.305,105.387,5.865,0.62,0.148,0.22,0.169,0.282,0.073,0.294,0.114,0.23,0.115,0.236,0.224,0.214,0.216
67,7.795880017344075,9.507,7.109,0.864,0.544,0.151,0.426,0.45,0.333,0.248,0.057,0.29,0.133,0.338,0.163,0.403,0.283,0.338
68,7.886056647693163,300.816,239.727,0.987,0.555,0.147,0.598,0.468,0.318,0.28,0.062,0.355,0.135,0.296,0.19,0.461,0.339,0.344
70,8.031517051446064,70.219,10.995,1.188,0.852,0.147,0.125,0.437,0.36,0.317,0.141,0.357,0.203,0.454,0.237,0.307,0.2,0.248
76,8.040958607678906,9.765,4.828,1.132,0.621,0.152,0.398,0.45,0.336,0.213,0.066,0.291,0.143,0.382,0.171,0.395,0.289,0.345
78,8.337242168318426,320.44,6.003,1.07,0.978,0.151,0.891,0.518,0.353,0.223,0.099,0.336,0.172,0.373,0.162,0.587,0.437,0.517
79,7.0762380391713,258.669,144.877,1.548,0.639,0.162,0.555,0.925,0.39,0.551,0.306,0.751,0.271,0.537,0.238,0.623,0.489,0.446
80,9.522878745280336,10.362,4.827,0.959,0.642,0.152,0.416,0.367,0.35,0.254,0.074,0.271,0.143,0.396,0.208,0.378,0.299,0.352
81,10.0,281.697,7.727,0.958,0.97,0.154,0.927,0.481,0.355,0.536,0.096,0.491,0.161,0.39,0.192,0.588,0.53,0.483
82,8.958607314841775,10.641,5.368,0.927,0.628,0.152,0.483,0.368,0.312,0.262,0.102,0.283,0.151,0.343,0.199,0.388,0.337,0.481
83,8.309803919971486,8.969,5.147,0.882,0.598,0.154,0.432,0.37,0.303,0.243,0.067,0.27,0.129,0.369,0.153,0.369,0.241,0.339
85,7.508638306165727,166.364,5.864,2.539,0.952,0.159,0.323,0.502,0.28,0.517,0.06,0.469,0.12,0.624,0.148,0.368,0.301,0.356
86,7.366531544420414,9.91,5.206,1.473,0.597,0.153,0.443,0.342,0.319,0.151,0.188,0.219,0.211,0.227,0.259,0.368,0.359,0.52
87,8.2839966563652,109.106,7.57,1.986,0.919,0.153,0.114,0.416,0.4,0.27,0.217,0.403,0.277,0.348,0.339,0.31,0.165,0.244
88,8.698970004336019,8.609,4.998,1.105,0.585,0.153,0.448,0.372,0.349,0.228,0.227,0.274,0.191,0.318,0.484,0.39,0.266,0.39
89,8.468521082957745,282.378,7.421,1.033,0.971,0.153,0.505,0.464,0.404,0.225,0.105,0.253,0.195,0.36,0.235,0.457,0.232,0.294
90,8.585026652029182,8.874,5.227,0.907,0.591,0.153,0.458,0.404,0.321,0.211,0.083,0.274,0.141,0.278,0.178,0.394,0.36,0.516
91,7.886056647693163,6.443,5.775,1.033,0.486,0.155,0.419,0.516,0.376,0.277,0.078,0.378,0.159,0.402,0.181,0.437,0.269,0.376
92,8.455931955649724,6.703,5.761,0.887,0.502,0.157,0.465,0.524,0.28,0.319,0.054,0.329,0.12,0.514,0.111,0.423,0.285,0.406
93,8.958607314841775,113.512,4.599,1.253,0.951,0.16,0.23,0.456,0.378,0.31,0.154,0.327,0.224,0.55,0.266,0.355,0.277,0.359
