mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106
46,8.886056647693163,0.68,15.898,3.337,0.681,0.798,0.151,0.474,0.409,0.241,0.206,0.047,0.258,0.098,0.342,0.097,0.375,0.265,0.368
47,8.0,7.5,7.542,3.089,0.898,0.654,0.164,0.536,0.479,0.286,0.261,0.055,0.33,0.12,0.458,0.116,0.434,0.272,0.392
49,9.221848749616356,8.31,264.5,8.911,3.921,0.954,0.151,0.915,0.426,0.448,0.218,0.189,0.282,0.296,0.306,0.28,0.597,0.445,0.517
50,8.522878745280337,0.83,161.691,6.334,1.047,0.956,0.154,0.225,0.398,0.332,0.327,0.122,0.3,0.181,0.359,0.187,0.318,0.189,0.233
51,8.481486060122112,2.15,8.174,5.605,1.23,0.545,0.152,0.399,0.485,0.364,0.267,0.114,0.369,0.184,0.426,0.184,0.416,0.299,0.394
52,8.275724130399212,5.46,136.074,6.844,1.553,0.942,0.156,0.247,0.421,0.396,0.539,0.174,0.396,0.25,0.375,0.352,0.355,0.271,0.28
53,8.67778070526608,7.27,10.472,5.886,1.195,0.597,0.152,0.416,0.437,0.436,0.344,0.187,0.386,0.26,0.421,0.25,0.429,0.324,0.35
54,8.585026652029182,8.91,8.942,4.941,0.997,0.601,0.154,0.396,0.448,0.35,0.264,0.108,0.366,0.169,0.489,0.166,0.398,0.264,0.376
55,8.585026652029182,6.34,28.177,8.133,5.619,0.672,0.153,0.029,0.404,0.434,0.379,0.001,0.037,0.387,0.218,0.448,0.289,0.138,0.227
56,8.0,0.19,8.909,5.803,0.815,0.574,0.155,0.369,0.453,0.304,0.31,0.06,0.383,0.127,0.451,0.136,0.375,0.247,0.331
57,7.552841968657781,9.28,7.836,5.792,1.094,0.532,0.155,0.403,0.484,0.365,0.314,0.071,0.386,0.162,0.386,0.186,0.417,0.299,0.353
58,7.997833938243493,1.31,289.297,203.901,3.041,0.583,0.156,0.626,0.552,0.371,0.383,0.265,0.47,0.271,0.528,0.234,0.516,0.364,0.4
59,8.3767507096021,1.07,8.77,5.356,1.093,0.576,0.154,0.399,0.431,0.374,0.296,0.137,0.374,0.195,0.508,0.201,0.401,0.297,0.38
60,8.301029995663981,5.61,80.165,8.419,5.229,0.855,0.151,0.071,0.423,0.348,0.646,0.316,0.471,0.324,1.165,0.201,0.28,0.333,0.462
61,7.920818753952375,1.51,411.639,209.678,8.125,0.654,0.151,0.717,0.389,0.437,0.247,0.706,0.284,0.478,0.245,0.627,0.514,0.587,0.55
62,8.769551078621726,8.77,10.628,7.87,0.979,0.546,0.148,0.482,0.43,0.353,0.496,0.063,0.445,0.145,0.33,0.188,0.422,0.42,0.381
63,8.431798275933005,2.13,36.506,9.3,2.681,0.753,0.149,0.054,0.465,0.55,0.378,0.008,0.386,0.16,0.36,0.308,0.356,0.132,0.234
64,8.267606240177031,2.25,13.433,7.226,1.486,0.607,0.145,0.498,0.384,0.484,0.42,0.23,0.414,0.305,0.473,0.324,0.455,0.31,0.392
65,8.136677139879543,6.21,8.07,7.644,1.085,0.48,0.15,0.485,0.432,0.378,0.496,0.096,0.352,0.175,0.355,0.202,0.432,0.412,0.397
66,8.075720713938118,3.26,26.34,10.995,4.266,0.633,0.148,0.031,0.365,0.377,0.247,0.419,0.279,0.414,0.329,0.15,0.258,0.25,0.165
67,7.795880017344075,2.33,50.72,7.568,2.182,0.839,0.151,0.053,0.381,0.44,0.318,0.309,0.325,0.338,0.429,0.437,0.291,0.256,0.297
68,7.886056647693163,1.78,12.443,8.333,1.048,0.57,0.148,0.396,0.364,0.354,0.468,0.066,0.4,0.146,0.341,0.171,0.371,0.282,0.315
70,8.031517051446064,4.93,147.754,84.072,3.895,0.627,0.147,0.182,0.163,0.31,0.074,0.325,0.11,0.283,0.064,0.238,0.218,0.198,0.17
76,8.040958607678906,4.12,145.423,8.758,1.525,0.934,0.151,0.164,0.43,0.386,0.613,0.101,0.498,0.196,0.528,0.237,0.327,0.253,0.281
78,8.337242168318426,1.79,9.101,5.266,1.155,0.586,0.151,0.427,0.47,0.359,0.211,0.151,0.295,0.207,0.374,0.202,0.419,0.325,0.378
79,7.0762380391713,0.99,124.697,8.851,1.089,0.926,0.162,0.254,0.5,0.22,0.345,0.674,0.418,0.243,0.34,0.372,0.324,0.402,0.296
80,9.522878745280336,1.12,298.534,5.303,1.519,0.978,0.152,0.778,0.403,0.49,0.29,0.222,0.299,0.314,0.467,0.267,0.557,0.386,0.43
81,10.0,1.34,8.666,5.31,0.963,0.58,0.154,0.443,0.371,0.378,0.23,0.13,0.256,0.193,0.417,0.182,0.397,0.309,0.354
82,8.958607314841775,5.06,10.691,4.997,0.981,0.641,0.151,0.475,0.383,0.332,0.306,0.088,0.315,0.153,0.382,0.166,0.397,0.314,0.435
83,8.309803919971486,4.56,63.634,5.45,3.025,0.882,0.154,0.09,0.326,0.483,0.245,0.367,0.267,0.372,0.374,0.441,0.3,0.253,0.287
85,7.508638306165727,9.06,6.294,5.183,0.926,0.507,0.16,0.461,0.542,0.333,0.257,0.07,0.359,0.135,0.417,0.169,0.445,0.277,0.389
86,7.366531544420414,1.76,318.479,44.833,4.791,0.865,0.152,0.603,0.06,0.357,0.28,0.185,0.064,0.246,0.03,0.31,0.34,0.311,0.234
