mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101
62,8.769551078621726,12.663,7.4,0.999,0.601,0.151,0.439,0.403,0.372,0.505,0.126,0.436,0.191,0.586,0.203,0.404,0.354
63,8.431798275933005,168.084,10.29,3.585,0.924,0.149,0.179,0.422,0.473,0.464,0.331,0.427,0.393,0.37,0.531,0.358,0.295
64,8.267606240177031,11.909,4.478,2.672,0.625,0.145,0.467,0.353,0.468,0.369,0.168,0.346,0.304,0.547,0.371,0.429,0.325
65,8.136677139879543,9.337,5.292,1.653,0.573,0.15,0.438,0.395,0.427,0.4,0.239,0.366,0.267,0.461,0.232,0.42,0.349
66,8.075720713938118,25.141,9.951,5.371,0.621,0.149,0.023,0.475,0.541,0.466,0.433,0.479,0.458,0.551,0.481,0.346,0.324
67,7.795880017344075,214.037,4.35,1.259,0.974,0.151,0.939,0.506,0.407,0.389,0.088,0.398,0.18,0.458,0.2,0.617,0.458
68,7.886056647693163,46.699,9.702,5.741,0.751,0.147,0.047,0.501,0.442,0.425,0.005,0.471,0.153,0.413,0.402,0.33,0.146
70,8.031517051446064,186.746,7.717,1.344,0.954,0.147,0.618,0.425,0.407,0.405,0.266,0.384,0.313,0.462,0.34,0.483,0.434
76,8.040958607678906,8.901,5.154,1.25,0.582,0.151,0.427,0.413,0.332,0.206,0.131,0.275,0.184,0.354,0.171,0.391,0.317
78,8.337242168318426,211.072,6.135,2.535,0.961,0.151,0.641,0.544,0.388,0.393,0.145,0.42,0.208,0.514,0.256,0.525,0.421
79,7.0762380391713,243.773,16.462,1.597,0.931,0.162,0.502,0.563,0.423,0.311,0.536,0.435,0.37,0.396,0.492,0.496,0.459
80,9.522878745280336,9.206,5.064,1.132,0.598,0.152,0.474,0.395,0.33,0.288,0.139,0.294,0.193,0.424,0.184,0.4,0.316
81,10.0,108.64,7.413,1.872,0.921,0.154,0.149,0.424,0.465,0.347,0.285,0.393,0.316,0.414,0.55,0.346,0.227
82,8.958607314841775,76.252,7.145,2.46,0.888,0.151,0.079,0.436,0.393,0.359,0.159,0.395,0.239,0.378,0.219,0.303,0.284
83,8.309803919971486,271.109,7.38,1.112,0.97,0.154,0.661,0.46,0.401,0.267,0.157,0.317,0.209,0.389,0.298,0.507,0.427
85,7.508638306165727,185.877,5.555,0.964,0.966,0.159,0.514,0.46,0.359,0.473,0.075,0.434,0.148,0.543,0.17,0.444,0.342
86,7.366531544420414,148.872,5.149,3.943,0.942,0.152,0.283,0.37,0.405,0.23,0.224,0.224,0.33,0.224,0.257,0.353,0.319
87,8.2839966563652,8.35,5.841,1.094,0.546,0.154,0.482,0.403,0.344,0.264,0.105,0.29,0.183,0.434,0.17,0.41,0.308
88,8.698970004336019,261.84,8.101,2.825,0.96,0.153,0.403,0.456,0.484,0.333,0.337,0.397,0.328,0.375,0.561,0.448,0.288
