mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106
63,8.431798275933005,6.31,192.875,7.396,0.929,0.959,0.149,0.674,0.434,0.357,0.749,0.441,0.081,0.432,0.158,0.386,0.2,0.489,0.424,0.446
64,8.267606240177031,3.24,15.822,6.065,1.158,0.687,0.145,0.494,0.398,0.4,0.357,0.434,0.114,0.428,0.194,0.455,0.235,0.431,0.301,0.371
65,8.136677139879543,3.35,174.549,9.054,1.27,0.944,0.15,0.264,0.43,0.419,0.409,0.452,0.143,0.377,0.228,0.331,0.294,0.371,0.335,0.349
66,8.075720713938118,8.79,181.305,105.387,5.865,0.62,0.148,0.22,0.169,0.282,0.275,0.073,0.294,0.114,0.23,0.115,0.236,0.224,0.214,0.216
67,7.795880017344075,8.73,9.507,7.109,0.864,0.544,0.151,0.426,0.45,0.333,0.544,0.248,0.057,0.29,0.133,0.338,0.163,0.403,0.283,0.338
68,7.886056647693163,6.79,236.707,8.868,1.784,0.957,0.147,0.441,0.393,0.372,0.434,0.501,0.149,0.415,0.221,0.277,0.27,0.402,0.361,0.3
70,8.031517051446064,5.39,70.219,10.995,1.188,0.852,0.147,0.125,0.437,0.36,0.142,0.317,0.141,0.357,0.203,0.454,0.237,0.307,0.2,0.248
76,8.040958607678906,7.72,9.566,4.678,1.158,0.621,0.152,0.4,0.481,0.355,0.593,0.237,0.067,0.317,0.149,0.41,0.18,0.412,0.299,0.361
78,8.337242168318426,3.54,79.77,71.474,4.529,0.512,0.151,0.161,0.159,0.37,0.163,0.111,0.202,0.104,0.263,0.081,0.361,0.23,0.159,0.176
79,7.0762380391713,6.94,258.669,144.877,1.548,0.639,0.162,0.555,0.925,0.39,0.61,0.551,0.306,0.751,0.271,0.537,0.238,0.623,0.489,0.446
80,9.522878745280336,8.57,10.362,4.827,0.959,0.642,0.152,0.416,0.367,0.35,0.569,0.254,0.074,0.271,0.143,0.396,0.208,0.378,0.299,0.352
81,10.0,5.11,249.913,6.361,0.903,0.972,0.154,0.776,0.447,0.297,0.985,0.312,0.073,0.334,0.131,0.375,0.161,0.506,0.457,0.519
82,8.958607314841775,3.74,10.641,5.368,0.927,0.628,0.152,0.483,0.368,0.312,0.646,0.262,0.102,0.283,0.151,0.343,0.199,0.388,0.337,0.481
83,8.309803919971486,5.22,8.969,5.147,0.882,0.598,0.154,0.432,0.37,0.303,0.414,0.243,0.067,0.27,0.129,0.369,0.153,0.369,0.241,0.339
85,7.508638306165727,7.84,166.364,5.864,2.539,0.952,0.159,0.323,0.502,0.28,0.327,0.517,0.06,0.469,0.12,0.624,0.148,0.368,0.301,0.356
86,7.366531544420414,1.8,139.626,27.396,4.994,0.812,0.152,0.131,0.059,0.358,0.49,0.235,0.213,0.052,0.267,0.011,0.325,0.183,0.313,0.265
87,8.2839966563652,1.48,186.285,7.443,1.108,0.956,0.153,0.516,0.458,0.332,0.371,0.451,0.077,0.447,0.132,0.493,0.184,0.435,0.3,0.373
88,8.698970004336019,7.13,8.531,5.2,1.018,0.578,0.153,0.452,0.379,0.361,0.344,0.216,0.239,0.271,0.199,0.308,0.518,0.397,0.267,0.399
89,8.468521082957745,6.64,30.288,5.486,0.966,0.824,0.153,0.044,0.351,0.315,0.117,0.252,0.069,0.269,0.13,0.397,0.179,0.237,0.146,0.199
90,8.585026652029182,6.84,8.794,5.18,0.959,0.589,0.153,0.453,0.399,0.323,0.795,0.209,0.085,0.274,0.141,0.275,0.179,0.392,0.363,0.521
