mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
107,6.431798275933005,8.0,0.2840483,7.75,5.217,1.064,0.556995,2.1901106,70.476288,94.97316,95.123962
108,6.494850021680094,6.0,0.3209715,8.406,4.749,1.055,0.569346,7.44921727,105.679443,163.05188,107.685745
109,7.096910013008056,7.0,0.3214806,7.99,4.951,1.042,0.556032,5.01513601,36.206306,131.912231,105.157013
110,6.376750709602099,7.0,0.1414751,7.292,4.486,1.046,0.535949,4.61632425,43.522594,123.393028,89.67247
112,5.037630664329979,7.0,0.3407221,7.079,5.153,1.05,0.447234,7.62568518,72.79686,166.702347,104.718979
113,5.476253533188435,6.0,0.4092986,7.789,4.353,1.019,0.464153,3.58480216,92.869415,135.778519,104.215805
114,5.671620396561262,7.0,0.1324149,8.311,4.567,1.044,0.624861,3.76994936,70.12648,158.295639,116.208954
115,5.111259039317107,5.0,0.2612289,7.229,4.667,1.051,0.517481,5.420627,72.07444,161.617844,121.268333
116,7.501689446210399,4.0,0.2472891,6.989,3.627,1.071,0.503031,5.78473234,51.86478,89.125473,52.310143
117,5.698970004336019,7.0,0.2048552,7.213,3.594,1.127,0.523162,8.05216109,70.734741,114.253448,70.320007
118,6.301029995663981,5.0,0.1262778,7.144,3.391,1.055,0.511252,5.81224161,66.271255,106.921906,57.770409
119,6.0,6.0,0.2445915,6.968,3.425,1.059,0.495231,5.88703155,41.946339,119.878815,71.43412
120,5.361510743045363,7.0,0.2518328,7.956,4.599,1.052,0.595669,6.15612399,81.231239,114.263283,110.826256
121,5.3979400086720375,8.0,0.3260345,7.956,4.466,1.019,0.554428,2.79649118,55.076778,119.619362,88.864838
122,6.214670164989233,9.0,0.2082609,8.642,5.105,1.034,0.709544,3.19681302,63.529266,110.958542,99.838058
123,5.276544327964814,6.0,0.2256274,8.527,4.87,1.043,0.654044,5.39143915,94.275116,143.841125,92.309677
124,5.251811972993799,7.0,0.2434714,8.504,4.836,1.047,0.673545,6.06242778,61.251587,122.88195,105.024078
125,6.301029995663981,8.0,0.1991659,9.408,4.668,1.037,0.684001,7.00639849,86.800781,113.745346,129.321899
126,5.309803919971486,6.0,0.4136604,8.508,4.434,1.045,0.507619,7.17245518,75.144684,147.603638,119.594711
127,5.651695136951839,5.0,0.2856528,8.196,4.487,1.02,0.602058,4.05980323,87.067429,139.394653,118.581017
128,6.013228265733755,3.0,0.2610644,7.213,3.08,1.014,0.518647,1.8728496,65.767059,72.776215,95.054352
129,7.522878745280337,4.0,0.1839222,8.9,3.91,1.058,0.636456,6.7443231,80.880753,96.725327,130.394073
130,7.397940008672037,5.0,0.2795398,9.265,6.189,1.035,0.588282,4.68650606,85.086731,171.309036,159.752853
131,6.6777807052660805,10.0,0.296226,8.462,6.152,1.04,0.535017,6.35315427,96.51944,146.321838,139.317886
132,7.397940008672037,4.0,0.209273,8.832,3.943,1.011,0.623916,1.80525486,72.315186,108.195465,136.042999
134,6.958607314841775,8.0,0.2710792,8.163,6.053,1.027,0.546118,7.21929111,85.023842,142.901352,96.825554
135,7.221848749616356,4.0,0.2832469,9.376,2.98,1.021,0.603823,6.32366258,108.495499,120.004173,134.72612
136,7.154901959985743,3.0,0.216684,7.984,3.047,1.03,0.506633,4.29820012,68.191345,84.106598,125.891739
137,7.154901959985743,5.0,0.343251,7.968,4.018,1.019,0.523637,5.13265045,97.098007,116.369659,143.93219
139,6.251811972993799,4.0,0.3396978,7.776,2.88,1.036,0.572241,3.55377177,119.504066,126.912521,137.469803
140,7.522878745280337,7.0,0.2196892,9.513,5.19,1.013,0.674591,2.95259268,94.475899,191.803574,138.984146
142,6.309803919971486,6.0,0.1465471,9.052,5.1,1.011,0.617415,2.62425592,67.217705,105.570381,119.27298
143,6.455931955649724,8.0,0.2345681,9.19,5.123,1.018,0.564408,3.27540394,80.661041,87.966957,137.571594
144,6.795880017344075,3.0,0.3022988,8.026,2.827,1.033,0.568946,4.64452409,76.885475,66.207634,106.756607
145,6.267606240177032,5.0,0.2104986,7.701,2.612,1.034,0.550496,4.05305102,69.939903,87.860619,121.466118
146,7.522878745280337,4.0,0.4157189,7.494,3.262,1.025,0.512963,3.32819243,66.629044,91.273827,130.644394
147,7.154901959985743,2.0,0.2404234,8.503,3.047,1.023,0.578431,5.10457644,95.871033,102.601669,106.631027
148,8.0,4.0,0.3009482,8.425,2.947,1.023,0.578338,3.59328709,93.438148,99.443649,144.729279
149,6.251811972993799,2.0,0.2377565,7.686,3.08,1.013,0.546836,3.38794484,77.213188,97.783539,86.203812
