mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
40,7.522878745280337,5.13,405.102,12.234,1.038,0.968,0.155,0.806,0.436,0.303,0.807,0.203,0.119,0.287,0.167,0.246,0.192,0.515,0.376,6.0,0.061221,6.391,3.471,1.01,0.498041,2.33785998,64.75943,153.950409,59.922684
41,7.301029995663981,1.23,21.439,3.814,0.646,0.828,0.158,0.56,0.41,0.23,0.713,0.144,0.062,0.242,0.095,0.194,0.133,0.4,0.306,5.0,0.0757154,5.936,4.875,1.011,0.511544,2.62001286,55.701904,173.420181,73.923477
42,8.0,1.54,137.984,75.219,3.65,0.636,0.155,0.553,0.055,0.442,0.671,0.002,0.272,0.009,0.326,0.011,0.243,0.35,0.315,3.0,0.2072453,6.687,3.076,1.023,0.51168,2.28575302,64.576271,127.673882,74.92746
43,8.0,8.91,233.736,8.901,2.185,0.955,0.156,0.956,0.457,0.277,0.987,0.25,0.18,0.297,0.147,0.309,0.13,0.563,0.472,5.0,0.2302524,6.087,4.081,1.046,0.394023,4.37312341,77.870834,163.392059,85.302567
44,6.823908740944319,4.42,27.727,4.238,0.995,0.841,0.153,0.564,0.454,0.329,0.563,0.33,0.131,0.356,0.184,0.41,0.192,0.449,0.341,3.0,0.1300078,7.308,4.55,1.02,0.560106,1.30300659,70.993607,121.041893,41.440144
45,6.920818753952375,1.88,398.947,8.295,1.444,0.976,0.151,0.679,0.438,0.454,0.654,0.402,0.168,0.377,0.232,0.477,0.28,0.523,0.408,7.0,0.1448353,6.842,3.144,1.009,0.599853,2.79073233,80.754494,140.652878,86.885345
46,8.0,3.18,38.172,7.681,5.264,0.747,0.155,0.04,0.447,0.458,0.015,0.046,0.002,0.081,0.066,0.11,0.136,0.315,0.021,5.0,0.1784606,6.631,4.412,1.015,0.422178,2.62089424,68.770828,134.871826,104.650406
47,8.0,5.95,16.7,5.604,1.564,0.7,0.154,0.491,0.369,0.374,0.604,0.169,0.15,0.26,0.196,0.211,0.22,0.411,0.307,4.0,0.2443362,6.893,3.178,1.025,0.481203,6.30706834,74.819794,153.238098,83.546562
48,8.0,7.25,14.077,6.265,1.053,0.658,0.155,0.444,0.408,0.376,0.588,0.189,0.104,0.282,0.17,0.246,0.183,0.409,0.294,3.0,0.1357937,6.576,3.042,1.023,0.456299,4.2562359,103.09478,138.038208,68.405022
49,8.0,3.44,14.157,5.826,1.294,0.665,0.156,0.457,0.389,0.34,0.538,0.176,0.24,0.268,0.191,0.228,0.452,0.395,0.318,2.0,0.1819002,6.805,3.042,1.012,0.448737,2.39714833,71.979828,133.524811,66.726486
50,7.698970004336019,4.66,170.4,4.588,1.723,0.964,0.153,0.513,0.375,0.339,0.745,0.28,0.169,0.292,0.16,0.323,0.195,0.409,0.398,4.0,0.2413752,7.25,3.042,1.04,0.520028,4.30184923,55.403336,150.635803,69.49955
51,7.698970004336019,7.69,14.821,6.024,1.069,0.676,0.155,0.464,0.368,0.323,0.346,0.333,0.069,0.297,0.134,0.474,0.141,0.385,0.25,4.0,0.213307,6.313,3.042,1.032,0.43333,4.10537365,67.110001,146.896255,78.197258
52,7.698970004336019,3.12,286.104,12.337,1.642,0.953,0.153,0.931,0.447,0.402,1.014,0.592,0.235,0.413,0.254,0.401,0.428,0.593,0.614,4.0,0.1993067,6.728,2.871,1.041,0.488009,4.77659195,53.241264,137.909302,69.793953
53,7.698970004336019,9.37,178.918,8.848,2.241,0.942,0.155,0.503,0.489,0.283,0.551,0.44,0.134,0.404,0.176,0.569,0.164,0.425,0.375,3.0,0.2339188,6.469,3.076,1.038,0.470725,6.38795867,61.211449,137.598663,73.590958
54,7.397940008672037,2.46,16.734,5.562,1.559,0.701,0.153,0.489,0.369,0.34,0.762,0.244,0.201,0.278,0.191,0.361,0.237,0.399,0.402,6.0,0.2596747,7.267,3.11,1.049,0.506615,5.97215482,77.433029,163.906387,57.406326
55,8.0,0.99,20.63,5.789,1.221,0.746,0.151,0.516,0.352,0.421,0.419,0.305,0.127,0.286,0.197,0.477,0.209,0.43,0.284,8.0,0.1908209,6.892,3.247,1.02,0.49411,4.01650805,79.619263,151.971909,86.411377
56,5.300162274132754,6.28,138.473,11.408,1.715,0.913,0.152,0.141,0.448,0.32,0.074,0.292,0.101,0.335,0.161,0.372,0.153,0.303,0.156,5.0,0.2201599,6.799,4.376,1.03,0.437898,3.69695275,77.949333,163.578201,98.26339
57,4.500312917381596,2.93,347.308,186.803,73.383,0.572,0.15,0.527,0.307,0.173,0.618,0.195,0.081,0.191,0.091,0.202,0.054,0.336,0.298,6.0,0.2980672,7.107,4.25,1.041,0.529294,4.05590967,91.073929,170.288513,106.7743
58,5.100179497572904,1.25,293.583,188.285,3.349,0.605,0.152,0.45,0.31,0.404,0.618,0.177,0.335,0.184,0.32,0.126,0.242,0.388,0.377,3.0,0.4086775,6.522,4.113,1.066,0.410738,7.66554677,80.584312,159.674545,83.977493
59,4.508638306165727,6.29,63.189,11.237,4.377,0.802,0.15,0.073,0.501,0.409,0.026,0.528,0.284,0.434,0.328,0.584,0.32,0.328,0.279,6.0,0.420214,6.831,4.216,1.116,0.424599,8.44886949,126.997475,185.600876,70.059212
60,5.300162274132754,9.45,122.544,18.005,1.899,0.86,0.148,0.193,0.445,0.353,0.093,0.228,0.049,0.306,0.132,0.349,0.171,0.33,0.123,5.0,0.1772366,7.289,4.079,1.03,0.504571,2.36942182,108.37529,178.434784,93.531708
61,6.823908740944319,7.64,229.361,5.357,1.353,0.972,0.153,0.262,0.416,0.358,0.152,0.386,0.127,0.378,0.197,0.369,0.183,0.345,0.221,5.0,0.0946994,6.824,5.383,1.041,0.484983,6.20778213,59.644314,131.402985,118.193291
62,6.508638306165727,0.99,17.67,6.419,1.097,0.702,0.153,0.487,0.333,0.371,0.714,0.239,0.175,0.255,0.201,0.298,0.291,0.397,0.376,1.0,0.059826,6.728,3.042,1.024,0.52468,4.27819561,118.682343,182.744888,79.242905
63,7.301029995663981,7.72,337.15,7.671,2.691,0.97,0.149,0.675,0.426,0.244,0.645,0.346,0.106,0.327,0.121,0.543,0.095,0.448,0.366,5.0,0.243191,7.042,3.212,1.039,0.478147,4.82456603,82.226944,176.165421,106.002151
64,6.0,3.82,188.25,7.996,1.526,0.952,0.151,0.667,0.462,0.414,0.696,0.354,0.215,0.334,0.246,0.526,0.263,0.514,0.422,4.0,0.2396551,7.283,4.345,1.049,0.555327,7.2823125,71.043739,168.528198,126.200668
65,5.903089986991944,5.73,14.094,6.244,1.14,0.656,0.155,0.461,0.365,0.368,0.322,0.524,0.08,0.349,0.159,0.348,0.173,0.398,0.309,4.0,0.2079623,6.67,3.247,1.03,0.439395,3.98884691,74.040833,159.094849,92.991226
66,5.600326278518962,7.15,345.61,16.028,4.785,0.943,0.153,0.499,0.417,0.319,0.419,0.148,0.274,0.249,0.265,0.147,0.309,0.411,0.28,4.0,0.1998398,7.107,2.871,1.036,0.522761,5.10848571,84.519516,157.03006,89.484283
67,6.0,3.2,14.525,6.141,1.286,0.662,0.155,0.452,0.355,0.397,0.511,0.436,0.108,0.33,0.172,0.277,0.221,0.401,0.352,8.0,0.2269454,7.147,3.042,1.031,0.474482,5.89299457,93.334061,146.100754,75.707077
68,5.400116927926312,1.75,247.55,10.113,1.942,0.954,0.153,0.563,0.496,0.389,0.634,0.416,0.151,0.396,0.22,0.539,0.179,0.483,0.4,8.0,0.1813944,6.59,3.178,1.049,0.49846,6.11614006,90.592667,142.961411,76.894089
69,6.102372908709558,9.09,20.228,5.569,1.279,0.747,0.151,0.501,0.343,0.329,0.388,0.467,0.089,0.329,0.154,0.345,0.171,0.391,0.315,7.0,0.2301747,7.428,2.939,1.028,0.493334,3.75437518,64.746948,166.19429,123.253983
70,7.301029995663981,9.34,17.896,6.037,1.092,0.715,0.153,0.443,0.366,0.329,0.303,0.202,0.076,0.271,0.143,0.273,0.158,0.379,0.194,3.0,0.2092526,6.537,4.617,1.017,0.444238,3.01149354,59.795937,150.67453,77.481949
71,7.397940008672037,3.27,93.781,12.716,1.137,0.871,0.151,0.114,0.403,0.272,0.347,0.239,0.103,0.316,0.148,0.232,0.163,0.263,0.23,2.0,0.2259843,7.494,2.836,1.027,0.510168,1.55753559,71.492409,143.8694,93.134132
72,5.096910013008056,4.08,295.217,57.461,3.864,0.828,0.15,0.347,0.116,0.392,0.399,0.045,0.333,0.086,0.331,0.039,0.51,0.285,0.259,6.0,0.2049205,6.876,3.11,1.053,0.509893,2.75028977,60.796787,143.103104,88.282204
73,7.472284193781353,4.18,19.613,1.756,0.936,0.879,0.165,0.534,0.45,0.379,0.64,0.31,0.066,0.306,0.161,0.248,0.239,0.454,0.338,5.0,0.1222957,5.686,4.533,1.087,0.464092,6.28451416,43.665405,126.998329,149.042297
74,7.657577319177793,4.61,10.195,8.387,0.169,0.544,0.161,0.458,0.456,0.242,0.311,0.285,0.032,0.359,0.079,0.376,0.096,0.386,0.209,10.0,0.1493104,5.6,4.456,1.068,0.380093,3.84659744,50.837288,85.744881,46.228428
75,5.985479461242076,0.2,16.715,7.856,1.698,0.636,0.153,0.55,0.404,0.444,0.305,0.214,0.485,0.289,0.369,0.336,0.31,0.466,0.335,10.0,0.0544388,6.819,2.597,1.133,0.445954,8.16404458,104.057655,65.13736,61.405952
76,6.638272163982407,6.36,218.741,8.064,1.349,0.959,0.155,0.96,0.328,0.48,0.859,0.278,0.255,0.266,0.315,0.35,0.323,0.59,0.464,9.0,0.2347948,6.125,4.263,1.095,0.49475,10.2463996,84.582802,102.33802,71.725922
77,5.537602002101044,9.9,231.76,6.027,0.667,0.972,0.156,0.919,0.464,0.262,1.134,0.572,0.075,0.45,0.113,0.687,0.146,0.548,0.594,5.0,0.160337,5.974,3.327,1.097,0.379275,5.75832696,71.543465,108.24501,74.426025
78,10.045757490560677,8.75,292.587,132.019,6.104,0.679,0.152,0.879,0.211,0.416,0.788,0.148,0.336,0.172,0.353,0.08,0.419,0.502,0.424,10.0,0.2455342,7.529,3.11,1.061,0.448046,9.73363165,66.307358,77.408646,141.188446
79,7.136677139879544,5.5,282.993,190.692,0.605,0.597,0.161,0.697,0.919,0.445,0.639,0.491,0.121,0.929,0.198,0.468,0.258,0.687,0.417,13.0,0.041309,5.454,4.692,1.07,0.376772,5.5852004,110.747627,130.804016,141.024475
80,7.619788758288394,4.53,283.882,10.652,0.491,0.962,0.158,0.782,0.486,0.373,0.818,0.248,0.14,0.35,0.203,0.27,0.208,0.547,0.402,9.0,0.0755079,5.45,3.588,1.013,0.378232,2.55929858,87.165573,92.259209,60.425171
81,6.505845405981557,8.78,15.728,3.872,1.472,0.746,0.156,0.53,0.346,0.393,0.355,0.181,0.146,0.24,0.219,0.256,0.227,0.423,0.227,8.0,0.1276978,6.155,2.836,1.138,0.407657,8.72118886,85.366676,152.924927,105.025215
82,7.292429823902063,7.87,11.05,8.782,0.617,0.54,0.159,0.539,0.485,0.226,0.362,0.229,0.072,0.324,0.108,0.29,0.129,0.417,0.221,7.0,0.168815,6.163,2.802,1.023,0.396325,2.62302601,61.895138,91.521683,74.317001
83,6.767003889607846,1.69,9.953,8.142,0.783,0.527,0.159,0.472,0.507,0.373,0.296,0.303,0.335,0.387,0.306,0.416,0.29,0.451,0.311,9.0,0.098099,5.978,2.858,1.138,0.379685,2.76584155,65.930069,85.057419,81.114082
84,6.899629454882437,7.92,10.532,7.603,0.736,0.558,0.159,0.489,0.53,0.383,0.275,0.313,0.292,0.39,0.319,0.423,0.333,0.468,0.294,10.0,0.2039578,6.057,3.054,1.047,0.376587,4.12001669,69.720467,103.228882,56.760834
85,7.481486060122112,7.49,30.02,11.144,3.872,0.667,0.159,0.046,0.441,0.353,0.055,0.017,0.002,0.027,0.081,0.082,0.137,0.28,0.024,9.0,0.1105611,6.386,3.088,1.152,0.423547,9.80285503,103.58326,123.597008,69.312286
86,7.356547323513812,5.36,87.6,5.973,3.688,0.901,0.159,0.154,0.375,0.467,0.111,0.529,0.214,0.353,0.337,0.411,0.367,0.332,0.285,10.0,0.1785623,6.427,3.094,1.124,0.438644,10.3543166,89.261215,62.644768,73.311043
87,7.318758762624412,3.64,295.898,11.539,1.743,0.957,0.159,0.921,0.484,0.424,1.013,0.582,0.301,0.535,0.287,0.458,0.316,0.61,0.632,8.0,0.1231203,6.287,3.203,1.164,0.416137,12.026916,78.425301,113.332062,57.493843
88,8.096910013008056,3.07,346.413,196.687,2.919,0.634,0.159,0.67,0.433,0.313,1.099,0.884,0.228,0.577,0.227,0.371,0.156,0.472,0.737,11.0,0.1233877,6.603,3.094,1.132,0.426682,9.65353479,80.616554,98.725975,73.851334
89,6.94692155651658,2.97,12.978,8.174,0.757,0.592,0.159,0.486,0.472,0.408,0.341,0.239,0.203,0.341,0.277,0.361,0.32,0.455,0.261,9.0,0.1920633,6.758,3.128,1.152,0.402226,10.3206203,75.799454,115.752625,74.166435
90,6.665546248849069,7.81,18.22,4.939,1.389,0.742,0.156,0.573,0.42,0.462,0.329,0.215,0.375,0.321,0.325,0.343,0.352,0.485,0.306,8.0,0.1210639,6.153,3.02,1.177,0.428151,9.58220706,72.702522,89.120712,91.583023
91,6.906578314837765,0.94,16.979,5.485,1.896,0.697,0.157,0.564,0.471,0.509,0.333,0.333,0.362,0.369,0.346,0.392,0.368,0.515,0.343,11.0,0.1029165,6.32,3.385,1.16,0.433602,11.0798038,81.436798,76.870445,92.196815
92,5.932557157223619,1.29,134.302,13.909,2.675,0.89,0.153,0.258,0.411,0.539,0.162,0.22,0.401,0.279,0.47,0.299,0.472,0.402,0.261,11.0,0.1113656,6.764,4.154,1.138,0.448933,8.85887851,89.770172,109.666153,99.272652
