mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
44,6.823908740944319,3.48,34.048,1.856,1.073,0.921,0.153,0.566,0.456,0.277,0.563,0.179,0.147,0.237,0.17,0.287,0.212,0.433,0.296,0.394,3.0,0.2894124,7.324,4.412,1.02,0.593606,4.05215259,63.041649,148.677612,61.831879
45,6.920818753952375,4.23,68.988,27.302,1.282,0.707,0.151,0.13,0.524,0.352,0.087,0.177,0.169,0.156,0.207,0.133,0.29,0.336,0.145,0.165,7.0,0.1438549,7.34,2.939,1.01,0.600215,2.84302456,64.956619,148.698959,80.266716
46,8.0,2.85,69.552,12.584,3.899,0.808,0.155,0.057,0.526,0.352,0.006,0.019,0.038,0.458,0.235,0.471,0.23,0.312,0.021,0.239,3.0,0.1690019,6.759,4.444,1.015,0.426664,3.31855705,99.038971,135.092773,81.587761
47,8.0,0.63,16.058,5.703,1.641,0.686,0.153,0.505,0.393,0.414,0.67,0.193,0.197,0.277,0.238,0.246,0.3,0.437,0.353,0.46,5.0,0.2609533,7.032,2.939,1.013,0.481914,2.28683595,80.714043,167.564056,74.952858
48,8.0,7.33,14.315,6.181,1.197,0.66,0.155,0.456,0.394,0.4,0.597,0.186,0.174,0.274,0.211,0.244,0.306,0.417,0.319,0.431,3.0,0.2085974,6.363,3.007,1.023,0.45744,3.90908429,58.426666,138.417252,97.708199
49,8.0,1.52,14.529,6.548,1.197,0.652,0.155,0.484,0.416,0.337,0.584,0.213,0.097,0.286,0.159,0.292,0.166,0.412,0.298,0.387,3.0,0.1775628,7.1,3.11,1.012,0.459897,3.67205098,83.92244,140.540634,71.324081
50,7.698970004336019,8.95,16.082,5.785,1.549,0.687,0.153,0.492,0.371,0.368,0.803,0.155,0.21,0.255,0.204,0.212,0.286,0.41,0.39,0.425,1.0,0.1214333,7.377,3.178,1.035,0.49586,5.30997668,74.556625,149.22522,114.4841
51,7.698970004336019,4.54,24.316,13.594,6.042,0.553,0.155,0.036,0.412,0.341,0.338,0.273,0.001,0.006,0.274,0.007,0.402,0.263,0.204,0.187,3.0,0.1081502,6.79,2.734,1.032,0.454292,4.53983323,85.104355,155.703659,87.790977
52,7.698970004336019,0.03,19.278,5.589,1.111,0.742,0.154,0.537,0.348,0.356,0.676,0.229,0.13,0.262,0.187,0.28,0.202,0.414,0.345,0.446,4.0,0.1333204,6.461,2.939,1.01,0.518973,2.42797778,70.68705,137.456253,84.879387
53,7.698970004336019,8.0,230.144,11.05,1.377,0.949,0.155,0.428,0.432,0.457,0.365,0.549,0.168,0.429,0.25,0.655,0.248,0.439,0.361,0.421,7.0,0.1687143,6.865,2.973,1.038,0.493145,3.11864061,100.198257,152.872803,67.120575
54,7.397940008672037,6.95,18.643,6.323,1.025,0.717,0.153,0.559,0.376,0.395,0.887,0.259,0.214,0.276,0.213,0.389,0.355,0.443,0.453,0.536,4.0,0.1365814,7.319,3.007,1.048,0.535496,6.52533573,83.449272,129.950287,70.975296
55,8.0,5.9,302.087,13.162,5.137,0.943,0.151,0.625,0.484,0.343,0.549,0.42,0.202,0.382,0.265,0.275,0.24,0.484,0.39,0.322,4.0,0.227576,6.615,3.076,1.028,0.492871,3.79337938,90.319611,177.348969,115.074913
56,5.300162274132754,2.05,157.287,12.546,2.278,0.914,0.152,0.171,0.463,0.39,0.087,0.399,0.196,0.431,0.279,0.48,0.24,0.341,0.228,0.262,7.0,0.0699716,6.836,4.379,1.031,0.460005,4.62594336,72.855453,163.043106,97.236633
57,4.500312917381596,2.93,347.308,186.803,73.383,0.572,0.15,0.527,0.307,0.173,0.618,0.195,0.081,0.191,0.091,0.202,0.054,0.336,0.298,0.344,6.0,0.2980672,7.107,4.25,1.041,0.529294,4.05590967,91.073929,170.288513,106.7743
58,5.100179497572904,2.8,264.365,12.098,2.898,0.946,0.152,0.664,0.432,0.418,0.733,0.415,0.391,0.369,0.352,0.5,0.322,0.504,0.513,0.491,6.0,0.2152372,6.805,4.01,1.078,0.461323,6.88423778,73.291824,162.244156,106.642502
59,4.508638306165727,0.17,18.986,4.656,2.209,0.734,0.15,0.472,0.324,0.341,0.514,0.225,0.377,0.245,0.296,0.289,0.52,0.379,0.372,0.443,5.0,0.2668694,7.591,4.01,1.038,0.493858,7.20199096,51.787338,172.61116,94.238297
60,5.300162274132754,7.95,20.466,9.046,0.994,0.671,0.148,0.536,0.381,0.213,0.434,0.201,0.077,0.254,0.116,0.259,0.146,0.376,0.238,0.28,9.0,0.1706338,7.573,4.01,1.031,0.507851,4.02899431,78.046181,185.30954,117.445869
61,6.823908740944319,8.55,17.311,6.397,1.011,0.7,0.153,0.485,0.331,0.364,0.523,0.225,0.123,0.253,0.18,0.271,0.205,0.394,0.29,0.383,5.0,0.1121831,6.508,5.553,1.042,0.481601,6.05418804,108.100815,159.592316,103.351334
62,6.508638306165727,2.0,13.359,7.165,2.004,0.593,0.153,0.425,0.399,0.362,0.565,0.371,0.121,0.322,0.196,0.487,0.173,0.395,0.352,0.453,3.0,0.2086361,6.732,3.178,1.029,0.482155,4.47981452,99.536034,153.665085,88.109238
