mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,13,20,21,31,32,75,76,100,101,107,108,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
38,8.346787486224656,9.76,180.232,114.992,11.432,0.588,0.154,0.264,0.179,0.443,11.784,0.16,0.433,0.141,0.411,0.086,0.491,0.296,0.308,261335.611,261721.603,9,0.1062274,5.855,4.253,1.12,0.429236,7.61137489,30.939716,257.77948,46.463192
39,8.823908740944319,2.92,310.952,3.716,2.236,0.981,0.153,0.942,0.424,0.395,2.22,0.226,0.24,0.257,0.377,0.302,0.234,0.587,0.488,4759.837,3744.249,7,0.1805892,5.545,4.067,1.113,0.4159,7.65149508,46.442417,237.428848,102.649475
40,8.698970004336019,6.69,310.396,6.377,2.192,0.973,0.162,0.992,0.511,0.473,1.679,0.363,0.246,0.415,0.3,0.297,0.445,0.659,0.547,7331.717,5585.466,8,0.0458155,4.899,3.383,1.241,0.306158,9.10759616,24.101387,249.68309,58.655476
41,6.823908740944319,2.97,7.275,3.791,0.696,0.619,0.162,0.537,0.459,0.296,0.346,0.25,0.069,0.309,0.128,0.408,0.133,0.43,0.266,66.216,40.304,5,0.0481163,4.536,3.281,1.151,0.310436,8.59085604,27.806992,229.822571,66.254013
42,8.55284196865778,0.27,7.291,3.565,0.716,0.63,0.163,0.545,0.455,0.297,0.35,0.248,0.067,0.309,0.123,0.398,0.136,0.432,0.257,63.951,38.195,7,0.0556154,4.486,3.127,1.058,0.307149,8.12186259,31.362617,225.487488,76.184898
43,7.744727494896693,6.2,5.966,4.137,0.964,0.539,0.163,0.527,0.431,0.302,0.403,0.223,0.053,0.28,0.123,0.348,0.114,0.42,0.251,69.272,38.724,8,0.0403894,4.127,3.126,1.143,0.300695,8.10458372,35.023762,240.703278,53.746178
44,8.886056647693163,1.45,236.293,6.354,2.924,0.962,0.161,0.637,0.458,0.455,2.343,0.32,0.271,0.35,0.319,0.359,0.477,0.517,0.386,6846.486,4832.273,4,0.1422035,4.714,2.426,1.145,0.308356,9.78164941,21.848347,245.616974,54.779491
45,9.045757490560677,9.74,195.885,6.428,0.895,0.964,0.156,0.633,0.395,0.283,0.368,0.36,0.048,0.362,0.112,0.299,0.139,0.437,0.432,2770.585,2299.816,5,0.127711,5.581,4.169,1.087,0.36321,6.66657872,36.576172,265.239838,90.154152
46,8.886056647693163,7.94,266.083,6.422,1.354,0.972,0.151,0.927,0.339,0.396,0.78,0.106,0.13,0.171,0.208,0.211,0.226,0.554,0.415,4664.923,2494.026,5,0.1519748,5.819,3.383,1.171,0.437473,10.1050984,58.98888,282.919525,109.30584
47,8.0,8.7,142.785,6.091,2.472,0.943,0.162,0.189,0.469,0.491,1.872,0.346,0.277,0.379,0.343,0.468,0.539,0.383,0.253,3538.688,2170.34,7,0.0607359,4.706,3.178,1.148,0.310274,7.97442907,39.529778,221.740097,59.275364
