mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
40,8.698970004336019,1.37,128.783,5.429,3.838,0.933,0.162,0.143,0.443,0.416,0.459,0.19,0.403,0.269,0.342,0.401,0.334,0.307,0.268,7,0.0412202,4.807,3.383,1.281,0.301492,11.8432286,24.096321,258.857574,55.142719
41,6.823908740944319,6.94,7.358,3.816,0.751,0.617,0.162,0.539,0.449,0.31,0.247,0.05,0.303,0.114,0.393,0.127,0.433,0.258,0.372,7,0.0569933,4.619,3.281,1.164,0.310623,9.32878769,36.937546,220.803146,66.234795
42,8.55284196865778,8.73,320.27,6.194,1.384,0.977,0.163,0.987,0.463,0.348,0.238,0.071,0.319,0.14,0.25,0.178,0.6,0.429,0.454,8,0.0410136,4.411,3.16,1.136,0.310445,7.68476503,32.969849,241.462418,75.927742
43,7.744727494896693,0.77,219.628,4.816,1.261,0.973,0.163,0.952,0.365,0.263,0.14,0.046,0.201,0.103,0.223,0.115,0.527,0.348,0.4,5,0.0366252,4.653,3.296,1.11,0.304995,8.00204614,40.504753,234.166824,62.79554
44,8.886056647693163,5.16,256.728,3.448,1.138,0.982,0.161,0.786,0.486,0.418,0.338,0.1,0.355,0.186,0.388,0.221,0.563,0.467,0.505,5,0.0555905,4.377,2.529,1.172,0.304169,9.61666007,19.855984,250.298874,51.180725
45,9.045757490560677,7.63,243.873,64.656,2.276,0.785,0.156,0.701,0.086,0.46,0.005,0.067,0.021,0.335,0.039,0.468,0.416,0.216,0.337,7,0.1101541,5.339,4.033,1.087,0.366753,5.09459829,34.476326,262.256927,126.808937
46,8.886056647693163,6.18,26.392,10.452,2.504,0.671,0.151,0.044,0.3,0.339,0.002,0.018,0.012,0.197,0.028,0.278,0.228,0.058,0.123,6,0.1524154,6.016,3.315,1.172,0.440415,9.83185174,56.425594,242.792938,133.872604
47,8.0,4.97,32.504,4.186,1.971,0.841,0.162,0.04,0.525,0.497,0.061,0.006,0.35,0.16,0.479,0.203,0.354,0.025,0.234,6,0.051337,4.759,3.383,1.143,0.308488,8.29827112,44.265221,234.706207,93.044098
49,9.221848749616356,4.22,339.937,6.787,2.978,0.972,0.151,0.973,0.408,0.348,0.458,0.214,0.404,0.252,0.398,0.188,0.576,0.551,0.536,7,0.0829294,6.084,4.143,1.142,0.406061,12.3541234,47.640278,297.896545,77.433563
50,8.522878745280337,2.43,166.171,6.582,0.701,0.958,0.154,0.469,0.452,0.28,0.377,0.047,0.399,0.109,0.427,0.182,0.4,0.349,0.349,6,0.0766189,5.663,3.402,1.073,0.365558,5.42719996,50.573509,268.402954,105.500153
51,8.481486060122112,1.06,73.126,6.427,3.214,0.884,0.152,0.107,0.442,0.306,0.381,0.445,0.413,0.318,0.605,0.218,0.285,0.288,0.291,9,0.1647479,5.891,3.493,1.116,0.362045,10.1543534,29.795855,278.276611,74.445656
52,8.275724130399212,3.06,7.315,4.965,1.23,0.541,0.156,0.436,0.519,0.43,0.313,0.095,0.397,0.196,0.385,0.234,0.462,0.305,0.38,7,0.1537182,4.891,3.594,1.147,0.348121,10.788752,35.630219,272.385101,89.753601
53,8.67778070526608,5.42,10.04,5.434,1.318,0.598,0.152,0.42,0.437,0.43,0.246,0.128,0.351,0.22,0.441,0.232,0.429,0.295,0.377,7,0.1664699,6.013,3.98,1.161,0.392187,3.02172957,32.926441,235.201416,61.962185
54,8.585026652029182,9.03,8.338,5.614,1.099,0.554,0.154,0.442,0.454,0.382,0.269,0.115,0.377,0.187,0.453,0.191,0.426,0.312,0.343,8,0.0937733,5.599,3.729,1.118,0.373171,7.11211331,35.435848,235.639557,65.549339
55,8.585026652029182,3.7,11.507,5.513,0.744,0.648,0.154,0.379,0.428,0.296,0.355,0.058,0.374,0.121,0.444,0.134,0.368,0.247,0.321,8,0.1004801,5.56,3.744,1.255,0.393329,12.6922505,49.492851,239.313339,55.940384
56,8.0,0.44,62.354,8.216,1.205,0.869,0.155,0.093,0.413,0.43,0.224,0.093,0.321,0.257,0.32,0.321,0.312,0.108,0.226,7,0.0548829,5.726,3.266,1.111,0.363757,7.59644832,47.629177,231.528229,60.890041
57,7.552841968657781,4.02,157.324,7.382,2.491,0.941,0.155,0.186,0.446,0.406,0.378,0.224,0.333,0.333,0.305,0.351,0.346,0.274,0.295,8,0.0792015,5.905,4.063,1.165,0.368605,8.77532148,64.028435,296.916504,128.270401
58,7.997833938243493,2.4,8.188,5.181,1.177,0.563,0.156,0.433,0.435,0.388,0.329,0.211,0.363,0.242,0.418,0.213,0.419,0.346,0.383,12,0.1285649,5.71,4.614,1.158,0.369615,6.31443516,36.581062,267.346588,78.573677
59,8.3767507096021,0.65,69.054,5.772,1.592,0.904,0.153,0.085,0.432,0.32,0.366,0.067,0.39,0.149,0.67,0.155,0.279,0.319,0.292,10,0.1606797,5.442,4.305,1.173,0.355783,12.5240161,27.770712,308.966644,88.43576
60,8.301029995663981,5.61,80.165,8.419,5.229,0.855,0.151,0.071,0.423,0.348,0.646,0.316,0.471,0.324,1.165,0.201,0.28,0.333,0.462,9,0.0954768,6.41,4.573,1.078,0.427159,4.76891721,35.171673,279.010834,148.372894
61,7.920818753952375,1.53,160.859,7.68,0.941,0.949,0.151,0.201,0.408,0.422,0.729,0.111,0.455,0.194,1.161,0.261,0.343,0.349,0.506,9,0.1088345,5.906,4.188,1.091,0.423556,6.41792105,52.95908,270.292328,121.100471
62,8.769551078621726,7.86,411.312,130.99,93.659,0.647,0.148,0.436,0.68,0.196,0.779,0.227,0.772,0.182,0.971,0.092,0.437,0.49,0.444,10,0.1213997,6.892,5.587,1.131,0.449856,6.36352507,54.167187,275.473175,110.423294
63,8.431798275933005,5.98,220.737,7.658,2.057,0.958,0.149,0.822,0.385,0.431,0.33,0.157,0.322,0.238,0.337,0.217,0.546,0.41,0.411,5,0.2458804,6.979,5.11,1.161,0.433652,12.9003113,42.142296,316.548798,126.818619
64,8.267606240177031,9.02,47.482,6.722,1.212,0.857,0.145,0.054,0.385,0.431,0.345,0.084,0.44,0.196,0.396,0.24,0.29,0.145,0.221,10,0.1974863,6.782,5.381,1.103,0.423885,8.35293502,49.718121,303.657043,147.639847
65,8.136677139879543,5.88,238.567,7.291,1.388,0.965,0.15,0.964,0.41,0.399,0.324,0.173,0.315,0.228,0.332,0.192,0.591,0.478,0.486,10,0.1611972,6.179,5.112,1.1,0.393856,2.73070351,66.680321,275.568665,112.179291
66,8.075720713938118,2.34,13.076,7.924,0.768,0.601,0.148,0.363,0.405,0.283,0.511,0.043,0.454,0.108,0.389,0.13,0.35,0.268,0.285,10,0.1005433,6.686,5.07,1.051,0.445396,3.84237629,41.440979,255.686554,147.952515
67,7.795880017344075,6.0,10.216,4.363,1.205,0.647,0.151,0.473,0.545,0.374,0.443,0.068,0.444,0.153,0.484,0.187,0.464,0.36,0.424,8,0.1680902,5.92,4.975,1.107,0.396297,4.75034873,49.409771,235.938461,124.251038
68,7.886056647693163,8.2,14.405,7.892,1.165,0.614,0.147,0.473,0.395,0.345,0.519,0.069,0.44,0.145,0.358,0.178,0.404,0.333,0.322,10,0.1333437,7.26,5.331,1.092,0.472233,6.86597393,36.396999,288.964569,111.97451
70,8.031517051446064,7.23,249.224,199.588,2.294,0.552,0.147,0.374,0.619,0.385,0.726,0.266,0.668,0.289,0.469,0.258,0.46,0.505,0.402,9,0.1234701,7.278,5.605,1.039,0.45102,5.26815785,48.722954,332.496857,122.396881
