mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
523,8.863279432843592,9,0.1440271,8.106,4.385,1.02,0.461593,1.46654254,118.179276,154.52356,131.885681
524,8.943095148663527,6,0.2059711,7.894,4.352,1.084,0.458095,7.57878815,74.721954,196.215378,134.740799
525,9.602059991327964,9,0.2479661,8.761,6.313,1.104,0.514211,9.6014803,80.418114,230.044174,183.169174
527,9.346787486224656,7,0.2489543,8.853,4.955,1.069,0.554285,2.87427087,73.719894,1097.441528,169.204056
528,9.1249387366083,9,0.2927122,7.832,5.531,1.053,0.485683,6.26735415,64.651344,234.245697,177.0961
529,9.18045606445813,8,0.2672079,7.951,5.158,1.071,0.467964,5.25397285,70.672638,219.487411,214.368652
530,9.2518119729938,9,0.1724869,8.23,5.225,1.061,0.514288,2.05365912,82.348412,220.893387,246.556381
531,9.031517051446064,6,0.2449208,8.747,5.16,1.063,0.522758,8.90250637,75.501221,235.734894,236.509415
532,9.065501548756432,11,0.269849,8.893,5.472,1.048,0.520745,4.66802434,73.86367,280.137238,199.916153
533,9.522878745280336,11,0.3508004,7.715,5.501,1.153,0.432135,10.2756322,89.986107,263.335693,202.453735
534,8.97061622231479,7,0.2625453,8.022,5.249,1.069,0.528454,7.42717564,109.225716,188.859421,150.834274
535,9.468521082957745,5,0.3260713,8.208,5.417,1.149,0.486435,7.39976203,96.795792,260.811127,249.351639
536,9.4089353929735,11,0.3064068,9.088,6.235,1.084,0.527491,4.39282818,94.466431,227.963028,225.503723
537,8.97469413473523,8,0.2219036,8.111,5.487,1.02,0.529524,2.90112953,66.553513,173.239166,114.179947
538,8.906578314837764,10,0.2577536,7.349,4.813,1.111,0.460222,9.70094908,79.457817,191.585999,125.810516
539,9.292429823902063,9,0.4736058,8.326,5.182,1.12,0.460097,8.97379219,70.773567,277.595642,225.608322
540,9.397940008672036,9,0.5664597,8.828,6.093,1.087,0.461154,10.6426777,89.262794,266.066742,207.770599
541,8.892790030352131,11,0.2754644,8.972,5.487,1.092,0.526716,9.13381929,99.097725,258.932465,183.919708
542,9.040958607678906,13,0.3378963,9.508,6.294,1.068,0.554453,8.26554322,67.262405,243.527039,241.169983
543,9.397940008672036,11,0.3602901,7.984,6.19,1.117,0.473052,7.58739571,54.729332,237.757111,271.095093
544,9.42021640338319,9,0.2915187,8.857,5.928,1.05,0.538651,11.4933056,90.381256,238.687347,254.620407
545,9.060480747381382,7,0.2291552,7.907,5.494,1.073,0.512688,10.0865077,81.510086,202.891037,209.070816
546,8.88941028970075,6,0.2574732,8.714,5.344,1.094,0.552124,5.43599583,101.408218,232.931824,273.823608
547,8.482804102050025,6,0.4135178,7.596,5.539,1.042,0.488478,7.00924912,76.762489,238.358887,164.763214
548,9.55284196865778,13,0.1345207,8.914,6.123,1.058,0.581315,7.4524054,112.083084,221.2966,198.740646
549,9.30102999566398,10,0.5021541,8.167,5.354,1.123,0.440013,11.315551,105.588165,269.024292,268.258667
550,9.236572006437065,10,0.4329879,8.181,5.697,1.082,0.457674,1.0847635,103.624268,289.683319,219.744873
551,9.1249387366083,13,0.1996634,9.818,6.208,1.106,0.649754,1.66341549,110.123238,252.951218,192.854156
552,8.835647144215564,8,0.2956289,8.248,5.378,1.036,0.483359,6.20508567,113.112709,219.646927,166.200119
553,8.774690718274137,5,0.2653487,7.415,5.393,1.048,0.466384,4.02834279,44.919266,211.59375,128.269684
554,8.761953896871205,11,0.2192681,8.519,5.021,1.063,0.513683,7.07528377,83.15554,198.29892,214.877014
556,9.443697499232712,10,0.2830718,8.511,6.132,1.072,0.565628,5.79856586,116.243126,245.95491,286.786713
557,9.229147988357855,5,0.1846706,8.961,6.408,1.148,0.629015,7.36851522,107.695763,239.409897,203.029251
559,9.221848749616356,11,0.2512008,9.159,6.128,1.084,0.526089,9.18078689,93.649811,224.733826,259.044678
560,8.769551078621726,4,0.3202164,7.881,4.649,1.035,0.467788,4.70849982,50.846142,187.196686,152.026382
561,8.769551078621726,8,0.1980601,8.13,5.318,1.028,0.520607,3.86931753,194.592239,243.575806,185.708862
562,9.602059991327964,9,0.3826475,8.817,5.677,1.079,0.484811,9.74055614,51.647644,241.579697,259.354614
564,8.52432881167557,8,0.2206623,8.182,4.829,1.04,0.499734,7.85240679,69.843369,207.578522,138.562195
565,9.387216143280265,8,0.3736438,8.431,6.07,1.154,0.464596,10.2968422,89.430687,283.299713,249.427551
566,8.536107011014092,7,0.313473,7.759,5.023,1.115,0.504893,7.35190027,84.403732,207.726761,163.80545
567,8.614393726401687,8,0.1456249,8.48,4.75,1.022,0.523426,1.83781793,66.338257,158.890717,170.016739
568,9.387216143280265,8,0.1853053,8.88,5.811,1.098,0.581706,5.93794787,80.445892,203.268387,146.699554
569,9.244125144327509,7,0.3738887,8.306,5.375,1.102,0.48159,9.84694768,108.230232,268.099396,239.2883
571,9.050609993355089,5,0.2557354,6.909,4.658,1.07,0.429073,3.45212356,79.857559,177.478134,143.972183
573,8.950781977329818,8,0.3830151,8.6,6.102,1.049,0.472894,5.86683144,108.168999,303.638397,259.829254
574,9.221848749616356,14,0.1858267,9.721,6.007,1.105,0.651552,7.48948911,94.593018,303.212769,238.645447
575,9.275724130399212,9,0.2195623,9.11,6.272,1.126,0.59487,10.774617,90.616211,256.14621,242.183563
576,9.3767507096021,11,0.3540675,10.4,7.196,1.136,0.66899,10.2359976,79.877876,269.208374,364.109802
577,9.102372908709558,12,0.3782433,10.09,6.924,1.067,0.57808,7.52962437,111.613174,302.416687,268.949921
578,9.318758762624412,10,0.2673928,8.784,6.026,1.092,0.526036,6.88164985,92.516548,259.936707,268.61795
579,9.292429823902063,7,0.2687953,8.518,5.397,1.08,0.48142,5.31929709,100.093536,339.531097,155.849518
580,9.537602002101044,8,0.361973,9.313,6.045,1.051,0.608324,2.78136845,95.315521,1119.426025,269.177368
581,9.3767507096021,8,0.3213895,9.394,6.427,1.075,0.542137,8.02660188,105.109886,276.09964,310.357483
582,9.508638306165729,8,0.3652546,8.708,6.036,1.067,0.599079,6.5084786,91.664452,243.69133,201.103821
583,9.468521082957745,4,0.348098,10.076,5.949,1.113,0.589299,8.51190003,85.853546,1144.525024,228.442627
585,9.42021640338319,11,0.2808209,9.373,5.929,1.053,0.530808,10.3307599,86.960289,203.353607,277.558136
586,9.229147988357855,12,0.2790005,8.785,6.498,1.048,0.564966,7.31391824,92.208893,291.336456,256.177277
587,9.148741651280924,8,0.1951016,8.562,5.295,1.044,0.524454,3.0983378,97.771118,272.847534,138.165207
588,9.337242168318426,4,0.3621314,8.885,5.094,1.068,0.504384,13.852941,72.034164,277.642761,237.014435
589,9.2839966563652,10,0.1760389,9.12,5.967,1.046,0.613278,7.77302551,77.672821,255.463989,245.499359
591,9.119186407719209,9,0.1823605,8.499,4.96,1.051,0.531125,7.48443158,65.760025,195.857788,197.988251
592,9.455931955649724,8,0.2543943,9.339,6.071,1.141,0.560612,10.8939546,80.072014,213.977036,275.854584
594,9.309803919971486,6,0.3932887,8.218,5.385,1.043,0.465939,3.82985156,79.859039,308.993256,230.784088
595,9.443697499232712,10,0.4171658,8.152,6.303,1.07,0.449233,5.4072845,105.74482,271.640594,278.614838
