mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
58,7.997833938243493,9.42,127.966,109.03,6.408,0.526,0.156,0.158,0.191,0.442,0.005,0.335,0.028,0.372,0.081,0.405,0.144,9,0.1762002,5.461,4.408,1.124,0.34004,7.511012,87.174522,262.972687,67.890625
59,8.3767507096021,6.77,8.783,5.094,1.009,0.59,0.153,0.389,0.456,0.388,0.313,0.168,0.39,0.209,0.525,0.278,0.303,11,0.1407619,5.577,4.176,1.121,0.366307,2.29760974,59.624397,280.325409,81.483002
60,8.301029995663981,6.07,8.289,7.105,1.059,0.504,0.151,0.44,0.456,0.385,0.363,0.13,0.357,0.193,0.245,0.191,0.382,9,0.1240495,6.384,4.35,1.077,0.413096,4.53108811,54.039333,298.070251,124.518204
61,7.920818753952375,9.86,236.921,7.37,2.103,0.962,0.151,0.368,0.446,0.393,0.57,0.397,0.447,0.36,0.81,0.387,0.446,7,0.1140321,6.137,4.222,1.097,0.420122,6.40258017,78.869003,319.238953,122.756264
62,8.769551078621726,3.32,106.099,8.299,1.275,0.917,0.148,0.191,0.381,0.308,0.49,0.08,0.431,0.143,0.375,0.201,0.254,8,0.1265651,6.634,5.649,1.111,0.464611,12.4671876,49.047615,258.295929,132.569824
63,8.431798275933005,9.79,10.742,6.43,1.52,0.575,0.149,0.44,0.409,0.455,0.368,0.168,0.368,0.255,0.414,0.297,0.333,7,0.2234804,6.786,5.416,1.145,0.427816,2.98366714,36.252075,277.181152,117.855476
64,8.267606240177031,5.17,71.197,13.509,5.05,0.793,0.145,0.079,0.397,0.364,0.351,0.427,0.351,0.397,0.317,0.579,0.268,8,0.2201332,7.042,5.482,1.102,0.452936,1.13108722,52.108181,293.844513,127.304993
65,8.136677139879543,3.5,221.516,8.902,0.956,0.957,0.15,0.442,0.47,0.354,0.383,0.096,0.37,0.162,0.323,0.203,0.362,9,0.1415602,6.101,5.394,1.07,0.410503,2.62690653,46.429741,257.91394,123.437653
66,8.075720713938118,9.66,29.656,4.265,1.95,0.827,0.148,0.047,0.633,0.392,0.426,0.016,0.479,0.084,0.543,0.146,0.152,9,0.2275334,5.938,4.936,1.057,0.410515,6.55396238,52.725365,266.699799,115.61483
67,7.795880017344075,7.94,9.342,7.242,0.787,0.538,0.151,0.421,0.428,0.305,0.23,0.054,0.272,0.12,0.312,0.142,0.274,6,0.173973,5.947,5.248,1.112,0.40727,7.69602161,36.317043,243.085358,91.693954
