mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
58,7.997833938243493,6.648,5.973,1.353,0.476,0.156,0.437,0.48,0.514,0.312,0.339,0.373,0.368,0.27,0.477,0.34,6,0.1748694,5.588,4.346,1.108,0.343247,7.25194821,42.612846,254.424652,75.294189
59,8.3767507096021,415.104,213.16,97.405,0.572,0.153,0.564,0.403,0.485,0.374,0.441,0.48,0.453,0.444,0.484,0.541,10,0.1264959,5.908,4.512,1.129,0.372834,4.25649346,47.122734,267.10611,90.690041
60,8.301029995663981,8.556,6.895,1.116,0.516,0.151,0.434,0.381,0.376,0.387,0.141,0.196,0.237,0.2,0.397,0.379,11,0.1294682,5.987,4.37,1.077,0.420911,10.0612835,52.628902,279.280945,127.429451
61,7.920818753952375,9.556,6.967,0.925,0.548,0.151,0.378,0.446,0.371,0.327,0.129,0.188,0.306,0.266,0.398,0.342,9,0.1187428,6.108,4.36,1.101,0.414821,6.14043628,60.430614,284.354462,118.727089
62,8.769551078621726,166.707,7.359,2.282,0.945,0.148,0.181,0.422,0.235,0.391,0.327,0.22,0.536,0.147,0.279,0.326,8,0.1359764,7.113,5.756,1.129,0.461761,11.1739577,65.618408,309.887543,141.487595
63,8.431798275933005,227.018,8.004,2.187,0.957,0.149,0.73,0.44,0.526,0.299,0.275,0.364,0.357,0.356,0.566,0.386,8,0.2601884,6.607,5.316,1.161,0.448027,8.66004947,31.275375,277.550537,103.801834
64,8.267606240177031,86.875,6.323,1.299,0.919,0.145,0.101,0.373,0.344,0.402,0.097,0.171,0.42,0.209,0.273,0.199,9,0.1901807,7.547,5.416,1.094,0.441432,3.55524813,56.145355,302.490448,127.252823
65,8.136677139879543,9.574,5.318,1.19,0.595,0.15,0.422,0.402,0.406,0.384,0.167,0.225,0.596,0.233,0.41,0.316,12,0.1752298,5.989,5.317,1.1,0.387996,9.59733478,52.726509,284.42038,119.367363
66,8.075720713938118,23.558,11.112,4.242,0.605,0.148,0.03,0.39,0.429,0.036,0.001,0.033,0.237,0.11,0.283,0.031,8,0.1804213,6.402,5.239,1.054,0.429957,4.73230192,40.691196,283.181366,150.297485
67,7.795880017344075,10.216,4.363,1.205,0.647,0.151,0.473,0.545,0.374,0.443,0.068,0.153,0.484,0.187,0.464,0.36,8,0.1680902,5.92,4.975,1.107,0.396297,4.75034873,49.409771,235.938461,124.251038
68,7.886056647693163,14.263,8.088,0.95,0.612,0.147,0.432,0.398,0.355,0.527,0.074,0.15,0.371,0.179,0.395,0.322,9,0.1463821,6.644,5.605,1.091,0.471337,8.61464558,50.974419,269.622681,128.352768
70,8.031517051446064,83.986,11.394,0.736,0.874,0.147,0.097,0.457,0.252,0.347,0.057,0.109,0.377,0.12,0.269,0.172,10,0.1233781,6.498,5.297,1.042,0.451731,3.06892426,57.46048,289.182373,106.948349
76,8.040958607678906,39.723,8.365,1.148,0.807,0.151,0.056,0.408,0.375,0.012,0.07,0.163,0.501,0.203,0.28,0.035,5,0.1124983,5.847,4.238,1.141,0.391009,8.52571715,42.402252,254.394211,99.307312
78,8.337242168318426,177.583,9.507,1.302,0.943,0.151,0.467,0.4,0.352,0.568,0.094,0.166,0.497,0.202,0.406,0.399,5,0.1530437,6.105,4.306,1.092,0.402086,7.46449902,44.293835,289.90329,114.387154
79,7.0762380391713,19.13,2.791,1.066,0.832,0.162,0.589,0.367,0.239,0.49,0.291,0.257,0.272,0.394,0.399,0.406,7,0.2492733,6.308,3.047,1.164,0.438807,11.0617232,76.400909,989.555908,91.600204
80,9.522878745280336,10.313,4.568,1.084,0.646,0.153,0.46,0.389,0.379,0.234,0.116,0.182,0.404,0.204,0.409,0.308,8,0.1418166,6.017,4.12,1.103,0.390839,10.4428152,38.522278,289.08493,82.48378
81,10.0,103.809,4.992,1.13,0.944,0.154,0.12,0.41,0.344,0.209,0.116,0.179,0.397,0.194,0.291,0.172,8,0.0870704,5.764,4.086,1.166,0.37775,11.2002668,42.281006,275.660492,66.62561
82,8.958607314841775,119.861,10.638,2.803,0.899,0.151,0.199,0.509,0.448,0.57,0.324,0.313,0.715,0.534,0.385,0.385,6,0.1844007,5.769,4.052,1.119,0.420401,5.98275359,30.00473,263.961121,110.687698
83,8.309803919971486,312.568,6.153,1.452,0.976,0.154,0.926,0.435,0.421,0.294,0.122,0.208,0.413,0.23,0.594,0.474,7,0.0986007,5.529,3.997,1.164,0.360797,9.70189717,44.177551,225.375977,129.201263
85,7.508638306165727,292.143,4.861,1.584,0.978,0.159,0.808,0.534,0.455,0.286,0.186,0.28,0.439,0.246,0.599,0.392,8,0.0666898,4.738,3.423,1.162,0.321912,9.37137558,56.806648,268.571564,103.106537
86,7.366531544420414,10.11,5.353,1.539,0.595,0.152,0.437,0.337,0.311,0.161,0.174,0.205,0.237,0.243,0.362,0.354,9,0.0722995,6.042,3.937,1.298,0.421066,12.2018316,38.697891,242.925537,94.753838
87,8.2839966563652,8.918,5.768,1.155,0.563,0.154,0.467,0.407,0.358,0.28,0.125,0.202,0.454,0.191,0.411,0.311,10,0.0976101,5.86,4.654,1.239,0.384409,7.60848374,41.777756,255.189819,96.50174
88,8.698970004336019,8.636,4.985,1.029,0.59,0.153,0.453,0.368,0.321,0.224,0.225,0.176,0.313,0.487,0.381,0.263,9,0.0458632,5.323,3.676,1.191,0.340559,10.9350495,52.621445,269.789154,178.119339
89,8.468521082957745,322.078,9.619,1.442,0.967,0.153,0.685,0.472,0.396,0.532,0.125,0.204,0.489,0.189,0.518,0.444,9,0.0855753,5.782,4.496,1.115,0.38476,12.35205,41.155304,314.157715,158.888672
90,8.585026652029182,8.646,5.243,0.893,0.585,0.153,0.443,0.395,0.316,0.201,0.096,0.141,0.273,0.192,0.384,0.359,9,0.1353372,5.688,3.745,1.133,0.396224,7.4854181,71.269119,256.173645,153.401215
91,7.886056647693163,6.693,5.964,0.937,0.492,0.155,0.43,0.507,0.393,0.286,0.084,0.167,0.412,0.2,0.443,0.275,8,0.091194,5.095,3.162,1.148,0.329624,8.69208224,37.091553,300.819122,102.581985
92,8.455931955649724,6.752,5.937,0.799,0.501,0.157,0.456,0.534,0.272,0.318,0.047,0.111,0.506,0.106,0.42,0.28,6,0.0878271,5.027,3.33,1.136,0.336683,7.33804288,38.02787,223.2155,39.250843
93,8.958607314841775,6.189,4.33,1.008,0.537,0.161,0.508,0.441,0.313,0.312,0.066,0.135,0.544,0.135,0.42,0.281,8,0.0355099,4.73,2.924,1.165,0.307792,9.65154491,44.298019,264.273956,69.936798
94,7.602059991327962,6.224,4.047,2.313,0.495,0.154,0.517,0.617,0.426,0.288,0.235,0.283,0.454,0.416,0.52,0.292,7,0.2953196,5.2,3.11,1.202,0.32061,10.4168075,30.816879,263.881927,87.781319
95,6.127843727251707,267.263,9.172,0.89,0.964,0.165,0.984,0.543,0.353,0.397,0.107,0.172,0.448,0.183,0.627,0.513,9,0.0263117,4.794,3.588,1.249,0.336982,11.0342016,36.748901,257.386505,56.127762
96,6.6777807052660805,7.552,2.578,0.826,0.689,0.167,0.595,0.435,0.332,0.372,0.052,0.129,0.593,0.117,0.454,0.306,9,0.0180788,4.264,3.315,1.239,0.302534,10.0301332,31.51086,222.7724,61.2551
97,6.806875401645538,101.28,2.862,2.568,0.949,0.158,0.096,0.498,0.453,0.504,0.256,0.285,0.649,0.409,0.349,0.274,10,0.047719,4.791,4.272,1.235,0.390462,11.4577753,34.345623,294.079865,112.407524
98,6.91721462968355,17.715,2.421,0.85,0.844,0.151,0.561,0.447,0.347,0.299,0.093,0.151,0.541,0.147,0.452,0.309,10,0.069734,5.937,4.055,1.326,0.435891,10.9647792,60.734406,331.447449,148.131775
99,6.920818753952375,183.775,3.139,0.903,0.978,0.151,0.899,0.367,0.398,0.239,0.099,0.174,0.368,0.18,0.554,0.403,11,0.0865106,6.105,4.488,1.319,0.47338,12.4669937,54.329056,268.697937,84.874496
100,7.67778070526608,206.156,2.786,1.328,0.98,0.163,0.527,0.388,0.417,0.413,0.121,0.215,0.636,0.195,0.444,0.422,11,0.0937586,4.533,3.452,1.253,0.319787,11.6481673,34.460529,274.716248,41.661701
101,7.795880017344075,182.79,2.469,1.189,0.98,0.155,0.776,0.428,0.369,0.294,0.111,0.189,0.486,0.158,0.525,0.363,8,0.1116974,5.665,4.272,1.134,0.419907,7.86350079,40.30291,296.833252,119.638802
102,7.920818753952375,44.022,10.185,1.755,0.787,0.16,0.034,0.461,0.392,0.002,0.031,0.286,0.277,0.416,0.296,0.018,12,0.0420992,5.039,4.213,1.27,0.389908,12.8725053,43.941105,265.932831,109.4011
103,7.920818753952375,12.778,2.897,0.877,0.772,0.157,0.436,0.399,0.268,0.282,0.05,0.116,0.42,0.1,0.368,0.26,11,0.1337257,5.34,4.215,1.19,0.394214,10.7995904,37.265976,286.467896,66.283463
104,7.920818753952375,8.359,2.379,0.971,0.714,0.164,0.569,0.411,0.29,0.311,0.056,0.125,0.5,0.104,0.423,0.295,10,0.0852673,4.561,3.397,1.218,0.317527,10.2284167,28.67989,257.606659,70.658852
105,8.070581074285707,59.878,2.934,1.821,0.926,0.154,0.112,0.335,0.427,0.225,0.244,0.308,0.32,0.327,0.291,0.184,6,0.1615967,5.61,3.417,1.191,0.411512,10.2225717,49.062515,242.6138,87.984512
106,8.102372908709558,187.371,4.348,1.56,0.969,0.157,0.417,0.408,0.487,0.221,0.178,0.302,0.381,0.49,0.437,0.316,9,0.1015375,5.348,4.252,1.142,0.376938,5.24905806,44.989555,317.520874,99.030258
107,8.207608310501746,241.873,121.738,4.154,0.658,0.16,0.352,0.315,0.486,0.378,0.274,0.351,0.351,0.435,0.384,0.37,7,0.0456569,5.125,4.155,1.355,0.384632,15.420431,47.166206,273.866943,87.546852
109,8.327902142064282,217.078,3.541,2.582,0.973,0.151,0.956,0.478,0.375,0.281,0.204,0.277,0.435,0.258,0.603,0.492,9,0.1308041,6.15,3.948,1.382,0.422691,14.7967664,38.688549,289.930664,63.880997
110,8.619788758288394,14.979,3.191,1.36,0.767,0.153,0.565,0.445,0.412,0.312,0.093,0.195,0.42,0.155,0.474,0.314,9,0.1848629,6.168,4.077,1.282,0.415017,13.468794,39.360771,259.986084,142.961166
113,5.337242168318426,107.118,4.077,0.084,0.963,0.177,0.108,0.451,0.486,0.458,0.451,0.332,0.461,0.455,0.349,0.318,4,0.1184698,4.619,2.241,1.083,0.370877,6.56203084,26.235254,42.688465,20.603573
114,5.508638306165727,115.873,9.759,0.673,0.917,0.177,0.159,0.583,0.236,0.365,0.044,0.098,0.469,0.1,0.326,0.202,4,0.1527102,4.277,2.138,1.112,0.325766,6.77859237,63.822586,35.474689,50.739937
115,5.537602002101044,188.353,13.686,2.28,0.922,0.167,0.282,0.444,0.387,0.218,0.09,0.19,0.296,0.239,0.371,0.235,8,0.1130208,5.746,2.776,1.17,0.390165,10.3127251,49.165733,54.983578,54.756687
116,5.585026652029182,96.309,17.582,1.976,0.831,0.165,0.07,0.508,0.321,0.323,0.151,0.195,0.413,0.259,0.3,0.223,6,0.1033793,5.784,3.244,1.137,0.425129,6.70447205,45.430744,52.620148,64.675941
117,5.619788758288394,19.976,2.519,0.608,0.865,0.163,0.562,0.38,0.308,0.446,0.304,0.321,0.411,0.375,0.417,0.371,7,0.0925747,5.829,2.98,1.163,0.426464,11.7080308,44.731117,53.483307,69.972488
118,5.657577319177793,211.5,2.164,0.746,0.986,0.177,0.96,0.515,0.341,0.497,0.081,0.148,0.398,0.159,0.605,0.527,5,0.1147267,4.557,2.376,1.115,0.323398,7.22807857,51.630196,53.895908,49.864048
119,5.6777807052660805,10.757,2.03,0.454,0.812,0.177,0.6,0.445,0.465,1.026,0.055,0.169,0.492,0.196,0.504,0.517,4,0.1252346,5.089,2.173,1.077,0.354184,6.28020668,40.299534,31.628609,36.463028
120,5.698970004336019,11.251,2.5,0.625,0.783,0.172,0.612,0.441,0.362,0.725,0.105,0.157,0.464,0.227,0.472,0.446,5,0.1565567,4.986,2.241,1.052,0.369875,4.81297936,44.404446,50.372231,42.725796
121,5.769551078621726,151.415,9.023,1.075,0.937,0.174,0.277,0.499,0.328,0.385,0.093,0.149,0.529,0.146,0.368,0.206,5,0.0722219,4.558,2.788,1.13,0.325818,6.52372848,18.10597,41.046452,68.352722
122,5.769551078621726,10.718,1.548,0.856,0.817,0.177,0.602,0.483,0.494,0.625,0.074,0.177,0.501,0.139,0.526,0.356,2,0.1180892,4.58,2.309,1.129,0.325806,7.60968018,30.7631,34.041161,49.493645
123,5.823908740944319,17.298,3.497,1.168,0.788,0.159,0.58,0.358,0.302,0.245,0.53,0.308,0.325,0.432,0.413,0.384,5,0.271376,5.943,2.913,1.165,0.416441,5.92051685,39.398808,249.802734,174.542114
124,5.958607314841775,225.121,3.108,0.621,0.984,0.171,0.865,0.462,0.451,0.334,0.217,0.311,0.377,0.324,0.593,0.455,5,0.0640099,4.93,2.514,1.1,0.341179,9.27752714,41.43013,34.878429,84.68026
125,6.0,266.427,5.591,1.002,0.976,0.163,0.387,0.393,0.303,0.389,0.1,0.159,0.381,0.195,0.361,0.319,7,0.207893,6.237,3.198,1.127,0.458216,7.28315636,73.641899,85.070755,80.998833
126,6.0,73.796,10.754,1.621,0.856,0.162,0.124,0.525,0.384,0.356,0.36,0.258,0.463,0.312,0.344,0.253,6,0.1809216,6.357,3.095,1.076,0.451547,7.63548086,49.176689,89.304306,80.299675
127,6.309803919971486,30.203,17.073,1.977,0.613,0.163,0.045,0.466,0.38,0.001,0.149,0.233,0.011,0.26,0.297,0.181,6,0.0298312,6.341,3.504,1.101,0.457041,7.31825489,77.339096,84.866089,76.856445
128,6.366531544420414,146.271,20.206,1.991,0.868,0.161,0.231,0.514,0.326,0.28,0.121,0.201,0.363,0.275,0.357,0.198,6,0.1295045,5.854,2.985,1.122,0.435586,6.72256778,35.915432,66.313477,99.156326
