mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
41,6.823908740944319,4.91,231.238,4.041,0.611,0.98,0.162,0.661,0.5,0.303,0.31,0.064,0.121,0.37,0.165,0.488,0.447,0.447,6,0.028572,4.699,3.452,1.151,0.307422,8.77461325,43.01672,235.795273,60.449516
42,8.55284196865778,6.19,7.46,3.628,0.768,0.629,0.163,0.549,0.463,0.263,0.237,0.068,0.115,0.394,0.125,0.425,0.263,0.37,6,0.0368557,5.039,3.024,1.136,0.312294,7.98402078,24.823153,241.088333,75.72039
43,7.744727494896693,6.43,5.811,4.249,0.928,0.529,0.163,0.518,0.424,0.307,0.22,0.054,0.125,0.337,0.117,0.416,0.246,0.349,6,0.0437584,4.264,3.365,1.142,0.298852,8.47008454,31.799166,228.82901,62.802856
44,8.886056647693163,7.87,7.823,3.026,0.905,0.666,0.161,0.53,0.456,0.29,0.27,0.056,0.122,0.463,0.122,0.425,0.267,0.391,5,0.1291036,4.691,2.461,1.172,0.308817,8.75665526,25.123035,262.708862,65.915771
45,9.045757490560677,9.07,8.233,4.633,0.925,0.597,0.156,0.479,0.407,0.294,0.295,0.053,0.119,0.349,0.133,0.393,0.315,0.366,6,0.1495098,5.333,4.238,1.086,0.3639,7.47491772,47.33429,263.402161,91.317841
46,8.886056647693163,8.12,152.552,12.167,1.596,0.917,0.151,0.204,0.478,0.396,0.538,0.136,0.213,0.667,0.29,0.359,0.241,0.347,5,0.0330731,5.91,3.383,1.171,0.430338,9.90936483,59.328861,256.772247,110.703857
47,8.0,3.1,281.914,5.993,1.606,0.974,0.162,0.889,0.479,0.383,0.316,0.155,0.23,0.34,0.227,0.584,0.421,0.432,5,0.0526973,4.781,3.247,1.144,0.308478,6.9880216,36.435028,226.984558,74.651199
49,9.221848749616356,2.32,256.102,207.889,6.571,0.544,0.151,0.499,0.317,0.488,0.138,0.351,0.397,0.169,0.403,0.434,0.38,0.347,9,0.1407596,5.81,3.874,1.133,0.386129,2.24605705,39.772888,302.849396,75.922638
50,8.522878745280337,2.65,9.057,5.711,0.732,0.584,0.154,0.381,0.462,0.305,0.341,0.061,0.125,0.49,0.142,0.383,0.251,0.342,9,0.0922927,5.555,3.504,1.075,0.3622,6.38089667,39.236012,273.237579,93.820915
51,8.481486060122112,0.65,240.679,8.163,2.55,0.957,0.152,0.541,0.408,0.422,0.478,0.186,0.293,0.469,0.342,0.457,0.316,0.393,7,0.1442863,5.792,3.842,1.079,0.377232,13.1572845,50.180061,269.012604,125.143829
52,8.275724130399212,6.15,7.11,4.445,1.631,0.539,0.156,0.445,0.539,0.471,0.325,0.124,0.234,0.439,0.224,0.485,0.33,0.405,6,0.1585205,5.546,3.612,1.145,0.346807,10.8025228,39.04047,261.786774,92.594467
53,8.67778070526608,3.52,10.306,5.388,1.272,0.607,0.152,0.415,0.447,0.412,0.244,0.089,0.193,0.433,0.222,0.425,0.287,0.376,8,0.1668563,6.031,3.911,1.164,0.397275,5.26304005,31.062971,247.210159,52.733559
54,8.585026652029182,6.06,77.839,32.5,7.392,0.661,0.154,0.12,0.026,0.444,0.009,0.001,0.32,0.01,0.338,0.197,0.016,0.133,9,0.1309458,5.812,3.463,1.132,0.34939,9.52959956,48.037918,273.508362,62.258038
55,8.585026652029182,2.21,136.741,7.849,1.823,0.934,0.153,0.175,0.458,0.398,0.313,0.267,0.318,0.374,0.321,0.343,0.289,0.308,7,0.1144767,5.968,3.709,1.276,0.383105,10.595976,36.351936,247.393066,59.625938
56,8.0,5.82,7.401,4.914,1.538,0.534,0.155,0.438,0.529,0.459,0.411,0.15,0.24,0.492,0.231,0.475,0.322,0.432,7,0.1114382,5.439,3.473,1.139,0.339322,12.4758213,31.659267,254.740189,54.406734
57,7.552841968657781,6.83,28.495,5.971,4.583,0.73,0.155,0.03,0.479,0.511,0.533,0.003,0.253,0.415,0.363,0.34,0.18,0.264,7,0.1876292,5.673,3.995,1.17,0.351862,12.3882958,36.911537,292.043854,128.58316
58,7.997833938243493,1.1,258.677,141.624,2.482,0.642,0.156,0.5,0.529,0.525,0.725,0.182,0.297,0.912,0.339,0.518,0.488,0.591,9,0.1464383,5.319,4.454,1.13,0.354742,12.1486103,52.312313,263.435883,79.489792
59,8.3767507096021,2.11,8.276,4.791,1.105,0.584,0.153,0.43,0.511,0.383,0.374,0.148,0.198,0.476,0.306,0.441,0.342,0.448,11,0.1432462,5.454,4.546,1.166,0.370066,13.7971969,29.730473,277.638916,117.271568
60,8.301029995663981,2.88,8.439,7.461,0.936,0.501,0.151,0.383,0.429,0.361,0.363,0.121,0.182,0.259,0.218,0.391,0.364,0.548,11,0.1078651,6.204,4.357,1.073,0.418956,3.29878707,52.157703,293.733002,130.110489
61,7.920818753952375,5.99,8.82,7.689,0.838,0.508,0.152,0.382,0.454,0.3,0.25,0.098,0.147,0.249,0.213,0.379,0.35,0.531,8,0.1025828,6.501,4.086,1.101,0.41876,6.52190306,75.48996,268.279907,110.571442
62,8.769551078621726,2.63,22.214,10.175,1.168,0.662,0.148,0.043,0.481,0.395,0.424,0.053,0.153,0.327,0.198,0.306,0.163,0.187,10,0.1082467,6.892,5.526,1.107,0.440706,3.22236281,51.587132,288.74292,137.540787
63,8.431798275933005,4.61,141.271,9.087,4.914,0.91,0.149,0.148,0.34,0.351,0.281,0.461,0.392,0.395,0.284,0.28,0.323,0.274,8,0.196619,6.798,5.317,1.16,0.434455,8.62241542,43.694527,271.928406,107.747192
64,8.267606240177031,6.4,27.165,16.627,4.212,0.566,0.145,0.031,0.312,0.36,0.005,0.002,0.161,0.092,0.354,0.234,0.103,0.156,12,0.255069,7.018,5.381,1.09,0.47106,3.19862931,58.563698,356.48114,137.97316
65,8.136677139879543,0.76,8.849,7.016,1.072,0.522,0.15,0.433,0.411,0.321,0.401,0.097,0.151,0.347,0.163,0.388,0.325,0.368,12,0.1577956,6.243,5.114,1.036,0.405657,3.77752071,59.170036,265.199646,110.405838
66,8.075720713938118,9.6,11.896,4.304,1.325,0.679,0.148,0.47,0.58,0.352,0.477,0.081,0.161,0.54,0.186,0.467,0.363,0.437,9,0.2250451,6.106,5.037,1.057,0.410944,9.93123883,38.687996,285.425323,130.165039
67,7.795880017344075,0.49,239.549,82.816,5.788,0.73,0.151,0.7,0.175,0.38,0.173,0.408,0.372,0.063,0.305,0.418,0.48,0.419,9,0.1651748,6.146,4.872,1.057,0.411891,7.22443946,44.530106,273.43396,95.129707
68,7.886056647693163,2.98,227.86,107.322,5.607,0.669,0.147,0.311,0.181,0.4,0.375,0.417,0.401,0.129,0.361,0.298,0.366,0.262,9,0.1365633,6.481,4.989,1.085,0.402108,5.93633278,15.841983,299.031067,103.036705
70,8.031517051446064,1.11,11.463,7.527,1.135,0.57,0.147,0.43,0.398,0.341,0.471,0.085,0.155,0.329,0.198,0.39,0.304,0.339,8,0.1251713,6.88,5.297,1.047,0.440136,4.90672563,30.980591,311.622589,131.924377
76,8.040958607678906,5.07,54.868,31.024,1.962,0.625,0.151,0.088,0.03,0.479,0.002,0.106,0.323,0.015,0.452,0.199,0.079,0.169,8,0.1377741,5.746,4.067,1.142,0.387184,9.21427789,32.325237,273.152374,90.223221
78,8.337242168318426,3.29,317.125,6.247,1.309,0.977,0.151,0.967,0.517,0.438,0.313,0.098,0.192,0.396,0.194,0.64,0.447,0.505,6,0.1162899,5.893,4.203,1.087,0.390683,4.13050291,29.57151,241.250778,96.572403
79,7.0762380391713,0.99,124.697,8.851,1.089,0.926,0.162,0.254,0.5,0.22,0.345,0.674,0.243,0.34,0.372,0.324,0.402,0.296,7,0.0879662,5.924,3.012,1.079,0.428019,4.21938073,41.972389,984.326172,87.861542
80,9.522878745280336,0.12,8.145,5.23,1.196,0.559,0.152,0.465,0.405,0.366,0.318,0.196,0.222,0.466,0.172,0.412,0.343,0.393,9,0.0988623,5.501,4.155,1.026,0.369009,9.43736442,41.175926,273.796265,104.773506
81,10.0,5.7,190.562,6.576,2.931,0.952,0.154,0.315,0.437,0.505,0.472,0.25,0.341,0.295,0.496,0.419,0.305,0.315,10,0.1036268,5.308,3.948,1.165,0.363918,9.87328818,24.886131,251.145233,83.375893
82,8.958607314841775,9.87,286.231,20.405,7.015,0.913,0.151,0.638,0.026,0.417,0.306,0.001,0.286,0.011,0.298,0.36,0.313,0.294,10,0.2009713,6.22,4.018,1.126,0.402872,11.4530057,50.596992,282.107758,98.745911
83,8.309803919971486,6.69,187.5,7.695,2.473,0.949,0.154,0.266,0.46,0.295,0.437,0.142,0.2,0.526,0.232,0.34,0.293,0.309,7,0.0949687,5.421,4.064,1.163,0.361186,9.80430989,35.47744,247.398453,96.774086
85,7.508638306165727,4.57,6.66,5.334,0.807,0.52,0.159,0.456,0.537,0.31,0.259,0.06,0.125,0.418,0.136,0.434,0.273,0.376,9,0.0528751,4.965,3.694,1.162,0.324923,8.38684772,47.837852,243.369049,80.647018
86,7.366531544420414,9.41,184.149,5.668,1.221,0.964,0.152,0.248,0.444,0.31,0.202,0.141,0.174,0.32,0.174,0.334,0.199,0.225,7,0.1193893,5.917,3.974,1.29,0.403584,11.4987906,39.105255,279.545105,108.76519
87,8.2839966563652,4.13,7.826,5.874,1.132,0.528,0.153,0.512,0.418,0.344,0.286,0.2,0.207,0.43,0.173,0.425,0.321,0.384,9,0.1137576,5.784,4.687,1.235,0.360558,11.5388821,58.678429,266.792419,134.493179
88,8.698970004336019,3.24,8.744,5.169,1.013,0.586,0.153,0.442,0.385,0.354,0.224,0.214,0.195,0.322,0.433,0.394,0.257,0.372,7,0.0393828,5.485,3.745,1.194,0.341922,11.0526464,37.071709,267.532654,170.796631
89,8.468521082957745,0.21,7.951,5.439,0.927,0.555,0.157,0.464,0.412,0.294,0.237,0.064,0.125,0.378,0.158,0.39,0.265,0.358,11,0.160778,5.336,4.021,1.089,0.353328,12.0815824,38.80838,262.225647,141.355469
90,8.585026652029182,0.77,171.022,126.101,2.549,0.571,0.153,0.254,0.222,0.371,0.256,0.178,0.233,0.098,0.33,0.282,0.271,0.226,9,0.1182149,5.804,3.677,1.107,0.392586,7.77804767,39.844257,253.921356,135.926392
91,7.886056647693163,0.59,6.603,5.767,1.044,0.492,0.155,0.424,0.513,0.373,0.278,0.074,0.154,0.409,0.179,0.437,0.273,0.381,7,0.0619681,5.038,2.958,1.1,0.328674,9.03196997,52.258522,292.175964,93.88131
92,8.455931955649724,7.78,246.775,6.664,1.5,0.968,0.157,0.539,0.49,0.441,0.407,0.177,0.264,0.423,0.305,0.49,0.352,0.394,6,0.0657315,5.088,3.261,1.134,0.336682,7.70090325,44.795189,217.63916,93.690033
93,8.958607314841775,6.43,6.452,4.313,1.068,0.545,0.16,0.508,0.442,0.348,0.322,0.095,0.159,0.533,0.196,0.433,0.289,0.428,7,0.0752988,4.722,3.061,1.166,0.311744,9.5699464,22.43442,253.574173,85.274712
94,7.602059991327962,3.51,6.283,5.379,2.31,0.45,0.154,0.478,0.366,0.428,0.227,0.249,0.289,0.319,0.453,0.424,0.347,0.486,6,0.2651713,5.569,3.11,1.197,0.342528,10.3501598,61.637627,259.228668,104.10421
95,6.127843727251707,0.69,7.601,2.671,1.137,0.666,0.163,0.572,0.459,0.397,0.375,0.141,0.201,0.613,0.222,0.476,0.343,0.471,10,0.1095461,4.582,3.247,1.205,0.311792,10.9733624,42.129932,244.693481,40.464466
96,6.6777807052660805,8.37,39.615,3.691,1.859,0.877,0.167,0.043,0.446,0.486,0.036,0.007,0.206,0.437,0.203,0.325,0.016,0.219,11,0.0235413,4.431,3.417,1.237,0.300454,10.5069305,41.210152,212.480865,63.825424
97,6.806875401645538,6.61,11.933,2.406,0.905,0.783,0.156,0.476,0.412,0.314,0.28,0.061,0.129,0.533,0.141,0.401,0.32,0.389,8,0.0475061,5.294,4.169,1.233,0.397997,11.8669838,52.369286,280.485321,108.545364
98,6.91721462968355,7.61,17.488,2.384,1.227,0.829,0.151,0.556,0.459,0.345,0.26,0.131,0.187,0.499,0.155,0.453,0.312,0.437,10,0.0857202,6.145,4.194,1.322,0.439082,14.0372186,38.899773,306.977692,148.903824
99,6.920818753952375,2.92,318.867,65.167,5.573,0.818,0.151,0.278,0.109,0.484,0.314,0.343,0.376,0.058,0.444,0.29,0.338,0.287,8,0.1303872,6.068,4.384,1.272,0.46841,12.512675,50.929474,289.693268,91.748993
100,7.67778070526608,0.61,8.234,2.51,0.961,0.703,0.163,0.573,0.452,0.326,0.334,0.069,0.143,0.54,0.132,0.45,0.303,0.43,10,0.0245731,4.632,3.452,1.225,0.313209,11.9811805,50.754574,219.800949,34.484444
101,7.795880017344075,3.58,212.973,4.71,1.063,0.974,0.155,0.937,0.509,0.353,0.337,0.094,0.166,0.399,0.154,0.6,0.418,0.448,11,0.1242657,5.448,4.306,1.136,0.419298,8.32622059,58.583763,259.641632,99.634155
102,7.920818753952375,9.93,165.217,2.3,1.372,0.978,0.16,0.352,0.406,0.405,0.228,0.309,0.363,0.356,0.234,0.388,0.313,0.322,8,0.1341466,5.19,3.907,1.276,0.386062,12.1274986,55.34597,258.979431,104.404839
103,7.920818753952375,4.55,340.722,114.098,2.925,0.744,0.157,0.66,0.227,0.519,0.134,0.294,0.409,0.181,0.417,0.469,0.439,0.447,12,0.1412762,5.283,4.384,1.182,0.392816,10.7364524,58.26186,236.264465,95.75351
104,7.920818753952375,5.79,141.807,6.442,0.817,0.951,0.164,0.157,0.458,0.307,0.32,0.054,0.138,0.399,0.139,0.307,0.147,0.196,10,0.022796,4.611,3.398,1.217,0.31911,10.8982723,27.732151,232.065063,63.647678
105,8.070581074285707,9.2,187.255,5.431,1.924,0.962,0.154,0.594,0.476,0.522,0.399,0.228,0.301,0.484,0.322,0.531,0.384,0.451,7,0.149089,5.604,3.178,1.195,0.421155,10.6948471,59.93959,263.349915,109.708961
106,8.102372908709558,6.39,9.442,2.48,1.534,0.702,0.157,0.517,0.432,0.4,0.228,0.179,0.234,0.584,0.183,0.45,0.365,0.435,10,0.0819198,5.064,4.173,1.141,0.365593,7.72353433,57.364021,316.13504,102.074921
107,8.207608310501746,1.02,337.021,71.412,2.75,0.82,0.16,0.834,0.111,0.503,0.062,0.195,0.309,0.037,0.319,0.483,0.402,0.482,7,0.121741,4.871,4.287,1.196,0.355897,10.1698005,56.29747,269.485565,74.959183
109,8.327902142064282,1.68,26.554,9.067,1.476,0.716,0.151,0.041,0.433,0.542,0.004,0.021,0.265,0.084,0.33,0.338,0.027,0.149,10,0.1203964,5.933,4.051,1.379,0.408499,14.7512943,31.228052,314.196686,57.332249
