mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
41,6.823908740944319,7.123,3.582,0.685,0.625,0.162,0.523,0.458,0.281,0.245,0.07,0.308,0.12,0.401,0.133,0.421,0.264,8,0.0297436,4.377,3.11,1.171,0.306228,9.10301283,28.204689,227.60202,84.670807
42,8.55284196865778,7.116,3.692,0.812,0.612,0.163,0.539,0.444,0.337,0.239,0.073,0.297,0.144,0.386,0.146,0.44,0.257,7,0.0550402,4.66,3.195,1.136,0.307182,7.97239099,31.581347,204.548386,111.270424
43,7.744727494896693,5.803,4.204,0.973,0.529,0.163,0.515,0.422,0.308,0.223,0.053,0.276,0.125,0.34,0.117,0.415,0.247,5,0.046833,4.753,3.194,1.142,0.298647,8.60689387,36.183281,238.644562,70.276665
44,8.886056647693163,72.165,7.402,0.787,0.898,0.161,0.102,0.52,0.324,0.457,0.076,0.463,0.148,0.581,0.167,0.315,0.202,5,0.1474574,4.521,2.392,1.176,0.307395,9.52863064,22.443844,225.528687,68.014236
45,9.045757490560677,231.631,4.932,0.999,0.975,0.156,0.573,0.396,0.341,0.312,0.077,0.316,0.151,0.322,0.18,0.436,0.414,7,0.1444308,5.559,4.135,1.087,0.359764,7.75297836,30.590809,252.763535,100.606773
46,8.886056647693163,15.114,3.071,0.863,0.793,0.152,0.467,0.416,0.345,0.22,0.067,0.27,0.142,0.36,0.153,0.409,0.277,5,0.1327977,6.027,3.383,1.165,0.430905,7.66596807,75.826775,237.765106,122.998642
47,8.0,160.612,7.319,0.983,0.951,0.162,0.241,0.538,0.319,0.452,0.086,0.444,0.16,0.578,0.154,0.366,0.231,6,0.0817707,4.664,3.52,1.15,0.307774,8.05941144,31.211483,239.400925,81.741249
49,9.221848749616356,9.217,5.764,1.648,0.554,0.151,0.44,0.514,0.441,0.345,0.137,0.424,0.25,0.379,0.367,0.465,0.381,8,0.168869,6.075,4.047,1.126,0.406111,11.9717264,30.50074,255.012482,103.111099
50,8.522878745280337,238.191,6.634,1.454,0.967,0.154,0.42,0.368,0.453,0.367,0.269,0.292,0.341,0.458,0.483,0.414,0.348,6,0.1307102,5.745,3.266,1.084,0.357736,4.52889498,44.676208,231.445175,137.18631
51,8.481486060122112,8.962,6.09,1.174,0.552,0.152,0.417,0.449,0.321,0.321,0.082,0.411,0.155,0.501,0.162,0.396,0.307,7,0.0775668,5.605,3.761,1.15,0.389492,8.71997571,43.117329,288.628662,81.114342
52,8.275724130399212,52.043,6.854,1.751,0.858,0.156,0.062,0.495,0.316,0.076,0.037,0.523,0.207,0.585,0.174,0.291,0.04,7,0.0644472,5.335,3.808,1.156,0.360635,4.30412439,61.891335,270.518372,99.76799
53,8.67778070526608,10.182,5.208,0.968,0.622,0.152,0.411,0.438,0.367,0.247,0.094,0.35,0.166,0.452,0.188,0.405,0.268,7,0.1710199,5.441,3.709,1.175,0.383182,4.05303617,29.013634,288.490143,95.514023
54,8.585026652029182,8.593,5.425,1.119,0.568,0.154,0.404,0.439,0.43,0.249,0.135,0.357,0.212,0.446,0.217,0.424,0.298,7,0.0593954,5.213,3.718,1.123,0.369926,3.2170076,37.160381,281.521423,85.684105
55,8.585026652029182,33.061,24.599,1.618,0.558,0.153,0.039,0.034,0.456,0.006,0.132,0.013,0.247,0.025,0.299,0.177,0.05,8,0.1438288,5.946,3.369,1.255,0.372228,12.4586156,76.840515,280.028137,55.640095
56,8.0,7.778,6.042,1.23,0.517,0.155,0.408,0.455,0.463,0.297,0.166,0.395,0.249,0.427,0.25,0.442,0.284,8,0.0923611,5.775,3.369,1.145,0.352949,6.65874042,51.872375,231.518845,73.847893
57,7.552841968657781,6.293,5.896,1.744,0.452,0.155,0.448,0.486,0.479,0.282,0.232,0.289,0.34,0.271,0.359,0.471,0.306,10,0.2073922,5.337,3.834,1.169,0.338846,7.55345997,47.041458,264.680176,147.175705
58,7.997833938243493,8.518,5.141,1.217,0.573,0.156,0.428,0.442,0.458,0.329,0.232,0.365,0.28,0.41,0.219,0.443,0.315,8,0.1508811,5.333,4.576,1.126,0.35806,6.91131467,48.665989,258.568512,74.529472
59,8.3767507096021,6.654,5.326,1.778,0.484,0.153,0.439,0.442,0.461,0.381,0.118,0.409,0.228,0.391,0.211,0.447,0.338,12,0.1672249,5.544,4.373,1.12,0.355357,11.6596476,34.064865,271.026947,99.755592
60,8.301029995663981,8.62,7.587,0.917,0.503,0.151,0.443,0.41,0.403,0.422,0.131,0.352,0.192,0.263,0.251,0.419,0.387,10,0.1231383,6.265,4.566,1.089,0.428781,7.21485462,52.940727,293.194366,125.156349
61,7.920818753952375,236.134,8.74,5.327,0.944,0.151,0.274,0.424,0.418,0.561,0.244,0.389,0.313,0.931,0.331,0.372,0.329,8,0.1035433,6.019,4.121,1.098,0.418919,7.4898365,42.256409,268.663147,113.98967
62,8.769551078621726,28.577,8.16,1.652,0.744,0.148,0.037,0.379,0.488,0.425,0.183,0.345,0.294,0.393,0.328,0.301,0.231,11,0.0840937,6.397,5.378,1.126,0.423795,5.60883577,39.519569,317.593292,141.017365
63,8.431798275933005,11.891,8.211,1.001,0.563,0.149,0.437,0.432,0.319,0.417,0.15,0.432,0.195,0.496,0.153,0.396,0.339,8,0.1963365,6.345,5.144,1.144,0.446308,12.3559925,39.348915,282.428467,133.11882
64,8.267606240177031,273.699,6.714,1.263,0.972,0.145,0.706,0.463,0.376,0.505,0.094,0.491,0.174,0.562,0.205,0.515,0.428,10,0.1868551,7.027,5.385,1.103,0.434363,8.43313662,50.612614,320.324646,131.091003
65,8.136677139879543,94.305,6.482,4.333,0.897,0.15,0.099,0.439,0.402,0.426,0.337,0.42,0.31,0.436,0.352,0.313,0.285,8,0.1722288,5.906,5.0,1.086,0.39527,0.798420297,52.091782,270.498535,114.48391
66,8.075720713938118,57.034,11.306,2.795,0.802,0.148,0.045,0.411,0.49,0.441,0.285,0.411,0.36,0.494,0.433,0.315,0.255,9,0.2277754,6.333,4.937,1.059,0.417038,9.06589944,59.077934,299.381622,127.494888
