mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
54,8.585026652029182,5.93,7.725,5.627,1.254,0.529,0.154,0.431,0.445,0.433,0.285,0.206,0.266,0.426,0.214,0.436,0.293,6,0.1215517,5.403,3.544,1.132,0.349247,8.86582979,21.188969,258.624329,51.73494
55,8.585026652029182,8.29,10.407,5.851,0.939,0.605,0.154,0.428,0.433,0.333,0.377,0.071,0.146,0.524,0.158,0.398,0.268,8,0.1531378,6.092,3.505,1.263,0.384392,10.6045654,25.897476,252.316666,48.538795
56,8.0,2.45,51.838,5.956,2.55,0.859,0.155,0.063,0.473,0.531,0.331,0.01,0.195,0.483,0.361,0.356,0.116,8,0.0384429,5.483,3.539,1.125,0.367347,6.77235197,41.71925,244.467407,55.820953
57,7.552841968657781,7.16,9.387,5.107,0.978,0.607,0.155,0.42,0.463,0.374,0.324,0.073,0.16,0.399,0.18,0.419,0.282,6,0.1191552,5.717,4.377,1.17,0.376215,14.1988729,25.414459,306.83493,104.543335
58,7.997833938243493,6.66,262.271,56.985,3.015,0.814,0.156,0.979,0.073,0.445,0.004,0.294,0.293,0.03,0.241,0.499,0.427,10,0.1581853,5.63,4.384,1.111,0.354272,10.8914793,41.24765,254.781693,53.486294
59,8.3767507096021,4.63,72.796,7.449,4.201,0.862,0.153,0.079,0.402,0.423,0.338,0.245,0.354,0.466,0.443,0.302,0.21,11,0.1243439,5.771,4.55,1.137,0.361109,8.07147895,31.244532,256.120544,88.290039
60,8.301029995663981,4.89,69.525,6.704,1.01,0.9,0.151,0.114,0.435,0.44,0.396,0.136,0.216,0.375,0.253,0.33,0.299,11,0.0944459,6.385,4.226,1.078,0.426793,6.99676809,49.302563,291.151367,119.852966
61,7.920818753952375,1.55,144.687,6.613,1.421,0.947,0.151,0.169,0.398,0.442,0.702,0.182,0.257,0.988,0.26,0.336,0.342,6,0.1042096,5.979,4.052,1.091,0.420776,7.07481993,63.267357,270.284973,114.846169
62,8.769551078621726,8.5,10.975,7.937,1.187,0.546,0.148,0.457,0.425,0.418,0.512,0.107,0.198,0.32,0.239,0.434,0.345,12,0.1133148,6.653,5.478,1.129,0.4481,3.56578507,45.304497,242.34317,121.305542
63,8.431798275933005,3.2,48.136,9.143,1.856,0.814,0.149,0.054,0.364,0.433,0.322,0.235,0.276,0.446,0.253,0.284,0.233,8,0.1801537,6.65,5.35,1.172,0.432695,7.67625623,33.656647,259.842651,113.98555
64,8.267606240177031,7.83,278.949,8.915,4.333,0.955,0.145,0.851,0.482,0.38,0.411,0.296,0.334,0.477,0.245,0.571,0.52,10,0.1897395,6.919,5.415,1.099,0.440594,7.78972703,41.905006,329.58194,148.200348
65,8.136677139879543,2.74,317.904,8.777,2.165,0.967,0.15,0.983,0.421,0.429,0.534,0.209,0.237,0.27,0.301,0.611,0.581,10,0.1257436,6.495,5.522,1.078,0.41495,2.53917329,37.102043,263.40683,117.601395
66,8.075720713938118,2.68,81.307,10.095,1.555,0.875,0.148,0.132,0.412,0.373,0.358,0.106,0.19,0.505,0.213,0.306,0.2,11,0.0975514,6.89,5.139,1.05,0.445272,3.79515957,53.665966,278.233032,159.085052
67,7.795880017344075,8.24,9.135,7.506,0.936,0.52,0.151,0.42,0.42,0.29,0.222,0.078,0.139,0.314,0.139,0.377,0.283,8,0.1565717,5.985,5.043,1.11,0.409298,6.63224064,49.612389,250.943573,109.868996
68,7.886056647693163,5.25,179.072,56.629,1.766,0.754,0.147,0.285,0.085,0.441,0.01,0.024,0.202,0.042,0.287,0.27,0.147,9,0.1033997,7.186,5.502,1.086,0.469307,5.5276871,47.786728,285.818481,117.174149
70,8.031517051446064,5.75,22.674,8.771,0.985,0.699,0.148,0.057,0.447,0.355,0.339,0.03,0.11,0.342,0.145,0.286,0.129,7,0.1370692,6.793,5.195,1.041,0.435528,7.93160826,49.578377,268.362305,126.908432
76,8.040958607678906,0.63,9.974,5.546,1.157,0.598,0.151,0.399,0.379,0.363,0.209,0.068,0.15,0.351,0.183,0.38,0.289,6,0.0985513,6.06,4.203,1.145,0.405735,7.55007749,25.135836,272.332336,131.860123
78,8.337242168318426,6.87,9.738,5.436,0.881,0.607,0.151,0.422,0.479,0.313,0.213,0.055,0.125,0.365,0.152,0.405,0.283,7,0.151936,5.833,4.135,1.094,0.391978,8.4483136,31.911827,242.665421,100.365868
79,7.0762380391713,7.13,343.501,123.409,3.696,0.73,0.162,0.806,0.249,0.336,0.088,0.227,0.212,0.084,0.234,0.464,0.451,7,0.1943574,6.415,2.844,1.172,0.441767,11.394989,39.6008,942.643555,90.887215
80,9.522878745280336,4.73,269.852,5.04,3.02,0.971,0.152,0.836,0.36,0.444,0.344,0.237,0.328,0.456,0.301,0.547,0.433,8,0.1233315,6.146,4.052,1.108,0.393086,9.64535472,54.371128,264.995728,76.420044
81,10.0,5.57,227.681,5.691,1.095,0.971,0.154,0.595,0.375,0.329,0.251,0.204,0.233,0.424,0.178,0.433,0.325,8,0.0642619,5.204,4.051,1.165,0.377875,8.95541553,35.218739,230.866837,77.464294
82,8.958607314841775,7.45,212.911,4.959,1.89,0.969,0.151,0.469,0.408,0.366,0.317,0.15,0.237,0.397,0.18,0.414,0.322,8,0.1915272,5.981,3.984,1.122,0.405898,10.7962689,33.617844,289.845947,91.182487
83,8.309803919971486,9.84,8.605,5.643,0.835,0.57,0.154,0.443,0.372,0.303,0.226,0.069,0.133,0.347,0.154,0.373,0.24,7,0.1059106,5.561,4.064,1.168,0.355677,8.44071557,48.460407,254.295441,90.628281
85,7.508638306165727,3.43,284.016,4.778,1.047,0.98,0.159,0.912,0.474,0.38,0.199,0.077,0.158,0.294,0.204,0.589,0.4,7,0.0409983,4.858,3.761,1.166,0.32177,8.74232032,22.693176,232.75206,99.935265
86,7.366531544420414,4.56,9.876,5.3,1.421,0.595,0.153,0.469,0.347,0.32,0.184,0.163,0.195,0.258,0.227,0.379,0.351,11,0.0963465,5.903,3.835,1.294,0.410026,10.6360608,44.065166,285.320953,108.420486
87,8.2839966563652,4.36,307.07,7.518,1.845,0.97,0.153,0.874,0.414,0.349,0.328,0.111,0.18,0.372,0.174,0.546,0.477,10,0.0786986,5.767,4.794,1.235,0.368851,14.1079391,51.417301,238.916916,93.758362
88,8.698970004336019,3.09,8.703,5.075,1.079,0.586,0.153,0.449,0.371,0.344,0.226,0.228,0.189,0.313,0.489,0.388,0.263,6,0.0328254,5.267,3.745,1.188,0.341967,10.8172347,39.50119,264.504791,175.463104
89,8.468521082957745,8.87,9.222,5.313,0.902,0.597,0.153,0.444,0.4,0.308,0.337,0.063,0.129,0.479,0.162,0.384,0.289,8,0.1293221,5.742,4.736,1.111,0.379043,8.49080133,26.940144,270.997314,112.859924
90,8.585026652029182,3.69,111.729,6.661,1.16,0.935,0.153,0.186,0.394,0.413,0.752,0.142,0.208,0.967,0.245,0.331,0.331,6,0.1402041,5.504,3.611,1.129,0.395338,7.85120426,46.788193,267.389496,147.36615
91,7.886056647693163,2.5,6.522,5.754,1.023,0.49,0.156,0.427,0.529,0.368,0.281,0.081,0.157,0.409,0.186,0.442,0.272,6,0.0584064,5.4,2.992,1.149,0.327312,8.3970894,52.617474,256.003235,77.932953
92,8.455931955649724,2.83,6.962,5.266,0.958,0.528,0.157,0.484,0.526,0.343,0.343,0.087,0.158,0.533,0.171,0.451,0.304,6,0.0674089,5.075,3.227,1.139,0.334535,8.29618493,19.186596,211.260376,77.976387
93,8.958607314841775,4.11,33.505,5.795,4.073,0.772,0.16,0.03,0.472,0.473,0.008,0.011,0.321,0.529,0.531,0.325,0.008,7,0.0390847,4.945,2.925,1.163,0.313473,8.16498416,34.653954,248.767288,55.224808
94,7.602059991327962,5.7,6.188,4.624,2.245,0.474,0.154,0.491,0.447,0.427,0.211,0.25,0.287,0.293,0.436,0.455,0.289,9,0.2825579,5.429,3.212,1.203,0.3277,10.1185445,52.708656,261.482605,102.958702
95,6.127843727251707,0.09,8.063,2.514,1.182,0.686,0.163,0.579,0.412,0.356,0.325,0.103,0.176,0.52,0.166,0.449,0.318,8,0.0271081,4.529,3.554,1.092,0.317653,10.911552,24.670773,236.952103,50.815182
96,6.6777807052660805,4.15,7.73,2.631,0.797,0.693,0.167,0.605,0.449,0.321,0.335,0.05,0.125,0.558,0.105,0.458,0.299,9,0.0297957,4.207,3.315,1.246,0.304819,10.1308847,33.323162,234.73642,55.08604
97,6.806875401645538,1.15,11.629,2.53,0.952,0.77,0.156,0.474,0.423,0.309,0.276,0.052,0.119,0.515,0.137,0.402,0.318,13,0.0427209,5.034,4.374,1.238,0.396459,11.5107254,30.872204,343.062103,104.806557
98,6.91721462968355,5.49,20.3,17.21,0.943,0.528,0.151,0.027,0.546,0.461,0.002,0.091,0.245,0.012,0.31,0.345,0.225,11,0.0562642,6.199,4.364,1.323,0.442613,12.0207919,33.448643,295.536255,127.572113
99,6.920818753952375,4.28,354.343,80.792,2.308,0.81,0.151,0.805,0.145,0.357,0.053,0.176,0.227,0.054,0.338,0.435,0.377,11,0.1102962,6.218,4.384,1.306,0.476831,13.6781264,55.32822,265.261414,89.158195
100,7.67778070526608,4.0,8.779,2.362,0.904,0.729,0.163,0.568,0.418,0.279,0.32,0.053,0.12,0.528,0.098,0.422,0.291,12,0.0223852,4.628,3.383,1.247,0.318618,10.0516247,52.728947,247.40506,46.842133
101,7.795880017344075,5.28,279.061,182.21,3.683,0.6,0.155,0.605,0.374,0.425,0.281,0.434,0.354,0.175,0.444,0.468,0.49,11,0.1374376,5.438,4.169,1.136,0.417237,7.74452347,66.587494,295.992645,113.620399
102,7.920818753952375,6.29,10.532,3.626,1.352,0.679,0.16,0.519,0.515,0.459,0.281,0.215,0.303,0.443,0.268,0.497,0.326,8,0.1877754,5.282,4.01,1.271,0.367226,11.658328,49.53516,246.868881,88.39743
103,7.920818753952375,6.84,39.622,3.632,2.454,0.867,0.157,0.045,0.408,0.418,0.114,0.002,0.109,0.291,0.146,0.291,0.043,10,0.1316106,5.105,4.112,1.19,0.393678,10.1296341,30.550234,235.406174,82.268433
104,7.920818753952375,0.06,8.541,2.506,0.896,0.715,0.164,0.575,0.419,0.274,0.302,0.049,0.114,0.49,0.089,0.422,0.294,8,0.0167063,4.493,3.466,1.032,0.321745,11.2981326,60.23159,260.084686,63.579144
105,8.070581074285707,9.75,150.099,97.392,2.062,0.601,0.154,0.273,0.22,0.387,0.165,0.287,0.346,0.17,0.277,0.293,0.264,8,0.1632324,5.635,3.52,1.196,0.428744,10.500514,57.4244,303.637085,105.839935
106,8.102372908709558,2.84,10.297,2.344,1.515,0.727,0.157,0.513,0.412,0.389,0.255,0.089,0.179,0.59,0.181,0.438,0.327,8,0.1047652,5.053,4.089,1.167,0.373798,6.28427376,44.123432,292.330444,88.608383
107,8.207608310501746,2.53,131.61,7.402,1.218,0.939,0.16,0.229,0.432,0.457,0.271,0.147,0.251,0.422,0.286,0.373,0.26,9,0.1330212,4.679,4.116,1.346,0.386354,14.2074429,31.866497,256.117279,97.044785
109,8.327902142064282,3.44,15.911,2.578,1.183,0.809,0.151,0.532,0.409,0.356,0.31,0.1,0.178,0.438,0.169,0.432,0.32,8,0.1268441,5.735,3.881,1.379,0.42518,15.5273775,43.537491,278.360352,49.849358
110,8.619788758288394,3.7,162.979,7.247,1.778,0.948,0.153,0.499,0.561,0.503,0.369,0.183,0.275,0.461,0.295,0.521,0.443,4,0.1993697,5.916,4.179,1.267,0.418695,12.967262,45.901314,267.807281,105.992859
113,5.337242168318426,9.68,103.387,7.457,0.736,0.927,0.177,0.162,0.544,0.424,0.467,0.566,0.398,0.598,0.181,0.376,0.576,5,0.1261241,4.978,2.376,1.083,0.370395,6.38536713,19.736473,34.273117,34.190704
