mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
40,8.698970004336019,6.205,4.146,0.972,0.548,0.162,0.528,0.412,0.299,0.185,0.191,0.259,0.163,0.263,0.385,0.413,0.266,72.103,5,0.0392045,4.863,3.349,1.231,0.299497,9.44331989,29.271368,267.592377,63.849213
41,6.823908740944319,226.763,4.142,0.728,0.979,0.162,0.505,0.488,0.303,0.287,0.072,0.34,0.13,0.452,0.143,0.432,0.367,2022.124,7,0.0506211,4.442,3.281,1.168,0.306413,9.02509316,32.298153,244.690216,77.206551
42,8.55284196865778,6.656,3.906,0.633,0.595,0.163,0.535,0.477,0.289,0.242,0.071,0.316,0.125,0.393,0.136,0.434,0.266,60.321,7,0.0350138,4.202,3.297,1.137,0.304501,7.6989312,61.339592,224.966187,109.493546
43,7.744727494896693,113.029,4.236,1.425,0.952,0.163,0.205,0.399,0.493,0.388,0.191,0.354,0.272,0.561,0.306,0.366,0.213,1446.705,5,0.0423815,4.899,3.261,1.142,0.300775,7.98135422,19.203621,218.652725,64.367203
44,8.886056647693163,248.27,4.499,1.577,0.976,0.161,0.637,0.43,0.383,0.261,0.165,0.302,0.231,0.378,0.269,0.483,0.285,3531.42,4,0.0944668,4.585,2.631,1.172,0.305607,9.1609978,39.33577,254.878204,80.67115
45,9.045757490560677,132.247,23.982,4.406,0.823,0.156,0.157,0.029,0.445,0.004,0.004,0.007,0.299,0.012,0.54,0.21,0.061,17994.53,8,0.1304284,5.397,4.203,1.086,0.370032,6.87407388,59.129944,246.205688,102.319092
46,8.886056647693163,270.607,5.472,3.444,0.968,0.151,0.911,0.453,0.34,0.222,0.179,0.305,0.218,0.264,0.284,0.568,0.416,7812.156,6,0.0364159,6.11,3.315,1.171,0.43957,9.78734635,40.264126,274.677612,137.407944
47,8.0,272.038,3.101,1.324,0.984,0.162,0.822,0.477,0.487,0.262,0.269,0.328,0.303,0.456,0.404,0.595,0.523,2601.4,8,0.0712729,4.274,3.486,1.147,0.304965,8.33914423,14.371117,219.754349,69.187859
49,9.221848749616356,10.583,4.879,1.785,0.614,0.151,0.425,0.467,0.46,0.288,0.181,0.4,0.278,0.463,0.404,0.45,0.318,188.677,6,0.1995899,5.943,4.014,1.126,0.396912,2.50155836,46.795135,268.537262,135.824829
50,8.522878745280337,9.234,6.034,0.736,0.577,0.155,0.373,0.486,0.246,0.321,0.044,0.409,0.099,0.471,0.111,0.368,0.245,123.971,6,0.0314907,5.657,3.436,1.081,0.36794,4.39367542,59.431988,299.483002,72.587463
