mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,54,74,75,76,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
61,7.920818753952375,9.384,7.451,0.891,0.529,0.151,0.445,0.417,0.321,0.71,0.246,0.087,0.447,0.3,0.146,0.187,1.154,0.247,0.168,0.394,0.347,0.298,0.523,9,0.0004925,6.575,4.29,1.0,0.426068,5.39388831,46.924812,272.376678,136.002869
62,8.769551078621726,11.405,7.808,1.009,0.564,0.149,0.447,0.428,0.367,0.429,0.509,0.085,0.388,0.466,0.16,0.203,0.357,0.395,0.195,0.414,0.341,0.338,0.316,12,0.0004919,6.981,5.484,1.0,0.450795,2.62610278,53.49131,285.633667,145.768829
63,8.431798275933005,10.549,5.17,0.978,0.632,0.149,0.423,0.529,0.36,0.443,0.381,0.132,0.413,0.44,0.183,0.217,0.544,0.545,0.174,0.437,0.319,0.346,0.421,9,0.0004813,5.545,4.703,1.0,0.389123,8.21669067,42.219193,257.404358,188.199081
64,8.267606240177031,14.515,7.193,1.09,0.637,0.145,0.447,0.386,0.387,0.354,0.324,0.13,0.377,0.381,0.193,0.229,0.498,0.415,0.215,0.407,0.269,0.317,0.376,6,0.000508,7.216,4.804,1.0,0.43893,7.66987848,49.160709,326.172424,178.307114
65,8.136677139879543,11.371,5.886,1.223,0.615,0.15,0.486,0.359,0.365,0.512,0.431,0.173,0.438,0.361,0.223,0.242,0.416,0.387,0.186,0.403,0.372,0.34,0.33,9,0.0005267,6.52,5.274,1.0,0.429387,11.3282424,80.899002,304.317078,141.480392
66,8.075720713938118,11.819,7.18,1.374,0.58,0.148,0.381,0.406,0.463,0.291,0.504,0.144,0.308,0.449,0.245,0.309,0.393,0.358,0.317,0.417,0.313,0.334,0.356,9,0.0004716,6.698,5.649,1.0,0.435153,4.74494988,60.76989,238.487167,197.249344
67,7.795880017344075,9.617,7.899,0.932,0.521,0.151,0.456,0.412,0.353,0.425,0.337,0.083,0.431,0.338,0.162,0.213,0.579,0.275,0.187,0.407,0.282,0.31,0.347,11,0.0004818,6.264,4.838,1.0,0.409322,7.03429819,45.998997,245.468719,151.871536
68,7.886056647693163,11.315,7.792,0.759,0.57,0.147,0.414,0.436,0.307,0.494,0.451,0.052,0.419,0.464,0.119,0.165,0.522,0.383,0.136,0.385,0.332,0.334,0.347,9,0.000491,7.024,5.365,1.0,0.437863,4.38086677,50.111485,294.666565,160.587845
70,8.031517051446064,11.7,7.875,0.893,0.572,0.147,0.463,0.442,0.363,0.409,0.41,0.071,0.411,0.419,0.149,0.202,0.505,0.379,0.185,0.423,0.297,0.326,0.356,7,0.0004846,6.756,5.434,1.0,0.435698,7.46196947,56.838413,279.260223,171.44487
76,8.040958607678906,9.643,5.505,1.057,0.595,0.151,0.44,0.388,0.333,0.546,0.207,0.162,0.472,0.269,0.198,0.22,0.513,0.35,0.153,0.387,0.305,0.313,0.339,8,0.0004845,5.503,4.272,1.0,0.389694,10.7375851,55.952366,240.307831,156.029678
